IT,CZ,Order,Sentence,SentenceT,L,HT,gender_it
fra,"mezi, za",256,Fra due giorni partiamo per l’Italia.,Za dva dny odjíždíme do Itálie.,ne,ano,
gli,"mu, ji,  ti",257,Gli telefono domani mattina.,Zítra ráno mu zavolám.,ne,ano,
quante,kolik,258,Quante persone arrivano stasera?,Kolik lidí přijde dnes večer?,ne,ano,
porco,prase,259,Il porco vive nella fattoria.,Prase žije na farmě.,ne,ne,m
cartolina,pohlednice,260,Ti mando una cartolina da Roma.,Pošlu ti pohlednici z Říma.,ne,ne,f
libro,kniha,261,Leggo un libro prima di dormire.,Před spaním čtu knihu.,ne,ne,m
solo,"sám, pouze, jen",262,Oggi sono solo a casa.,Dnes jsem sám doma.,ne,ne,
davvero,"opravdu, skutečně, vážně",263,È davvero una bella città.,Je to opravdu krásné město.,ne,ano,
che,že,264,Penso che hai ragione.,"Myslím, že máš pravdu.",ne,ano,
gentile,"laskavý, milý, zdvořilý",265,Sei molto gentile.,Jsi velmi milý.,ne,ne,
stanco,unavený,266,Oggi sono stanco.,Dnes jsem unavený.,ne,ne,
purtroppo,bohužel,267,Purtroppo oggi non posso venire.,Bohužel dnes nemohu přijít.,ne,ano,
dolce,"sladký, sladkost, jemný, něžný",268,Questo tè è troppo dolce. Ha una voce dolce.,Tento čaj je příliš sladký. Má jemný hlas.,ne,ne,
un po’,"trochu, trošku",269,Sono un po’ stanco.,Jsem trochu unavený.,ne,ano,
malato,nemocný,270,Oggi sono malato.,Dnes jsem nemocný.,ne,ano,
buonanotte,dobrou noc,271,"Buonanotte, a domani.","Dobrou noc, zítra na shledanou",ne,ne,
debole,"slabý, slabá",272,Sono ancora debole.,Jsem ještě slabý.,ne,ano,
preferire,"preferovat, dávat přednost",273,Preferisco il tè al caffè.,Dávám přednost čaji před kávou.,ne,ne,
pallacanestro,basketbal,274,Mio figlio gioca a pallacanestro.,Můj syn hraje basketbal.,ne,ne,f
pallavolo,volejbal,275,Mio figlio gioca a pallavolo.,Můj syn hraje volejbal.,ne,ne,f
camminare,"chodit, kráčet",276,Mi piace camminare nel bosco.,Rád chodím po lese.,ne,ne,
odiare,nenávidět,277,Odio aspettare troppo.,Nenávidím dlouhé čekání.,ne,ne,
abbastanza,"dost, docela",278,Il campeggio è abbastanza vicino.,Kemp je docela blízko.,ne,ano,
aereo,letadlo,279,Preferiamo l'aereo.,Máme raději letadlo.,ne,ano,m
alzarsi,"vstát, vstávat",280,Domani mi alzo molto presto.,Zítra vstávám velmi brzy.,ne,ano,
ancora,ještě,281,Non conosciamo ancora questa città.,Tohle město ještě neznáme.,ne,ano,
anno,rok,282,Quest'anno andiamo in Italia.,Letos jedeme do Itálie.,ne,ano,m
aprire,otevřít,283,"Apri la finestra, per favore.","Otevři okno, prosím.",ne,ano,
asciugamano,ručník,284,Ecco un asciugamano pulito.,Tady je čistý ručník.,ne,ano,m
auto,auto,285,Andate in auto o in treno?,Jedete autem nebo vlakem?,ne,ano,f
automobilismo,automobilismus,286,Loro s'interessano molto di automobilismo.,Hodně se zajímají o automobilismus.,ne,ano,m
caffè,káva,287,Preferisco il tè al caffè.,Dávám přednost čaji před kávou.,ne,ne,m
campeggio,kemp,288,Dov'è il campeggio?,Kde je kemp?,ne,ano,m
capire,"rozumět, chápat",289,Capisci quando il dottore parla italiano?,"Rozumíš, když doktor mluví italsky?",ne,ano,
caro,drahý,290,"Ma l'aereo è troppo caro, no?","Ale letadlo je příliš drahé, ne?",ne,ano,
certamente,"určitě, jistě",291,"Certamente, ma non per molto tempo.","Určitě, ale ne na dlouho.",ne,ano,
chiamarsi,jmenovat se,292,Come si chiama la sorella di Luca?,Jak se jmenuje Lukášova sestra?,ne,ano,
chiuso,"zavřený, zavřeno",293,Il museo è chiuso oggi.,Muzeum je dnes zavřené.,ne,ano,
città,město,294,Dobbiamo vedere anche altre città interessanti.,Musíme vidět i další zajímavá města.,ne,ne,f
costare,stát peníze,295,Quanto costa il volo per Parigi?,Kolik stojí let do Paříže?,ne,ano,
cuore,srdce,296,"Mano fredda, cuore caldo.","Studená ruka, vřelé srdce.",ne,ano,m
destro,"pravý, a destra vpravo, napravo",297,Gira a destra.,Odboč doprava.,ne,ano,
difficile,"těžký, nesnadný",298,Deve essere difficile per uno straniero.,Pro cizince to musí být těžké.,ne,ano,
dormire,spát,299,Non posso dormire.,Nemohu spát.,ne,ne,
dottore,doktor,300,Il dottore parla troppo in fretta.,Doktor mluví příliš rychle.,ne,ne,m
dovere,"muset, mít povinnost",301,Devo partire per Genova.,Musím jet do Janova.,ne,ano,
dritto,"rovně, přímo",302,Dovete andare sempre dritto.,Musíte jet pořád rovně.,ne,ano,
elegante,elegantní,303,Luisa è molto elegante.,Luisa je velmi elegantní.,ne,ano,
facile,"lehký, snadný",304,Per me non è facile.,Pro mě to není snadné.,ne,ano,
fermarsi,"zdržet se, zastavit se",305,Vi fermate anche a Roma?,Zastavíte se také v Římě?,ne,ano,
finestra,okno,306,La finestra è aperta.,Okno je otevřené.,ne,ano,f
finire,skončit,307,La lezione finisce alle cinque.,Lekce končí v pět.,ne,ano,
formula,formule,308,Seguono sempre le gare di Formula Uno.,Vždycky sledují závody Formule 1.,ne,ano,f
foto,"fotka, fotografie",309,Guardo la foto di Roma.,Dívám se na fotku Říma.,ne,ano,f
Francia,Francie,310,Partiamo per la Francia.,Jedeme do Francie.,ne,ano,
freddo,studený,311,"Mano fredda, cuore caldo.","Studená ruka, vřelé srdce.",ne,ano,
fretta,"spěch, in fretta rychle",312,Parli troppo in fretta.,Mluvíš moc rychle.,ne,ano,f
gara,závod,313,Seguono sempre le gare di Formula Uno.,Vždycky sledují závody Formule 1.,ne,ano,f
giovane,mladý,314,Mio padre è ancora giovane.,Můj otec je ještě mladý.,ne,ano,
Giovanni,Jan,315,Quando vengono gli amici di Giovanni?,Kdy přijedou Janovi přátelé?,ne,ano,
girare,"otočit, odbočit, zahnout",316,Poi girate a destra e dopo il ponte a sinistra.,Pak zahněte doprava a za mostem doleva.,ne,ano,
Giulia,Julie,317,Viene anche Giulia?,Přijde také Julie?,ne,ano,
interessare,zajímat,318,Questo programma mi interessa molto.,Tento program mě velmi zajímá.,ne,ano,
interessarsi di,zajímat se o,319,Loro s'interessano molto di automobilismo.,Hodně se zajímají o automobilismus.,ne,ano,
là,tam,320,È là.,Je tamhle.,ne,ano,
lavare,"umýt, prát",321,Una mano lava l'altra.,Ruka ruku myje.,ne,ano,
lavarsi,umýt se,322,Posso lavarmi le mani?,Mohu si umýt ruce?,ne,ano,
lentamente,pomalu,323,Il dottore non parla proprio lentamente.,Doktor opravdu nemluví pomalu.,ne,ano,
Luca,Lukáš,324,La sorella di Luca viene con me.,Lukášova sestra jede se mnou.,ne,ano,
Luisa,Luisa,325,Luisa è molto elegante.,Luisa je velmi elegantní.,ne,ne,
lungo,dlouhý,326,Il viaggio in treno è lungo.,Cesta vlakem je dlouhá.,ne,ano,
mano,ruka,327,Una mano lava l'altra.,Ruka ruku myje.,ne,ano,f
Margherita,Markéta,328,Margherita viene con noi.,Markéta jde s námi.,ne,ne,
mattina,ráno,329,Mercoledì mattina partiamo presto.,Ve středu ráno odjíždíme brzy.,ne,ano,f
me,"mně, mě, mi",330,Per me è lo stesso.,Mně je to jedno.,ne,ano,
Milano,Milán,331,C'è un volo per Milano adesso?,Letí teď něco do Milána?,ne,ne,
nave,loď,332,Ci vado con la nave.,Pojedu tam lodí.,ne,ano,f
niente,"nic, není zač",333,Di niente.,Není zač.,ne,ano,
ottimista,optimistický,334,Sono ottimista.,Jsem optimista.,ne,ano,
Parigi,Paříž,335,Quanto costa il volo per Parigi?,Kolik stojí let do Paříže?,ne,ano,
perché,"proč, protože",336,Perché parti così presto?,Proč odjíždíš tak brzy?,ne,ano,
ponte,most,337,Dopo il ponte girate a sinistra.,Za mostem zahněte doleva.,ne,ano,m
problema,problém,338,C'è un piccolo problema.,Je tu malý problém.,ne,ano,m
programma,program,339,Questo programma mi interessa molto.,Tento program mě velmi zajímá.,ne,ano,m
proprio,"právě, zrovna",340,Perché proprio là?,Proč právě tam?,ne,ano,
pulito,čistý,341,Ecco un asciugamano pulito.,Tady je čistý ručník.,ne,ano,
radio,"rádio, rozhlas",342,Ascolto la radio ogni mattina.,Každé ráno poslouchám rádio.,ne,ano,f
scusarsi,omluvit se,343,Mi scuso per il ritardo.,Omlouvám se za zpoždění.,ne,ano,
seguire,"sledovat, následovat",344,Seguono sempre le gare di Formula Uno.,Vždycky sledují závody Formule 1.,ne,ano,
sentire,"cítit, slyšet",345,Sento un rumore strano.,Slyším zvláštní zvuk.,ne,ano,
sentirsi,cítit se,346,Oggi non mi sento molto bene.,Dnes se necítím moc dobře.,ne,ano,
servire,"sloužit, obsluhovat",347,A che serve?,K čemu to je?,ne,ano,
sinistro,"levý, a sinistra vlevo, nalevo",348,La mano sinistra mi fa male.,Levá ruka mě bolí.,ne,ano,
sole,slunce,349,Niente di nuovo sotto il sole.,Nic nového pod sluncem.,ne,ano,m
sotto,pod,350,Niente di nuovo sotto il sole.,Nic nového pod sluncem.,ne,ano,
sporco,špinavý,351,Il bagno è sporco.,Koupelna je špinavá.,ne,ano,
stesso,"tentýž, stejný",352,Per me è lo stesso.,Mně je to jedno.,ne,ano,
stipendio,"plat, výplata",353,Il mio stipendio non è alto.,Můj plat není vysoký.,ne,ano,m
straniero,cizinec,354,Per uno straniero non è facile.,Pro cizince to není snadné.,ne,ano,m
tempo,"čas, počasí",355,"Certamente, ma non per molto tempo.","Určitě, ale ne na dlouho.",ne,ano,m
turista,"turista, turistka",356,Il turista cerca il campeggio.,Turista hledá kemp.,ne,ano,
tutti,všichni,357,Tutti sono pronti. Tutti e due.,Všichni jsou připraveni. Oba.,ne,ano,
tutto,"všechno, celý",358,Va tutto bene?,Je všechno v pořádku?,ne,ano,
"vacanza, vacanze","dovolená, prázdniny",359,Dove andate in vacanza quest'anno?,Kam jedete letos na dovolenou?,ne,ano,f
vecchio,starý,360,Questo ponte è vecchio.,Tento most je starý.,ne,ano,
vedere,vidět,361,Ci vediamo sabato.,Uvidíme se v sobotu.,ne,ano,
venire,"přijít, přijet; jít, jet s kým",362,Vengo con te.,Půjdu s tebou.,ne,ano,
vero,"pravý, pravdivý, opravdový; è vero to je pravda",363,È vero.,To je pravda.,ne,ano,
viaggio,cesta,364,Il viaggio in treno è lungo.,Cesta vlakem je dlouhá.,ne,ano,m
vicino a,blízko,365,Il campeggio è vicino al ponte.,Kemp je blízko mostu.,ne,ano,
volo,let,366,C'è un volo per Milano adesso?,Letí teď něco do Milána?,ne,ano,m
vulcano,sopka,367,L'Etna è un vulcano.,Etna je sopka.,ne,ano,m
lunedì,pondělí,368,Parto lunedì.,Odjíždím v pondělí.,ne,ano,m
giovedì,čtvrtek,369,Ci vediamo giovedì sera.,Uvidíme se ve čtvrtek večer.,ne,ano,m
venerdì,pátek,370,Preferisci venerdì?,Raději v pátek?,ne,ano,m
martedì,úterý,371,Lunedì o martedì.,V pondělí nebo v úterý.,ne,ano,m
mercoledì,středa,372,Partiamo mercoledì mattina.,Odjíždíme ve středu ráno.,ne,ano,m
sabato,sobota,373,Ci vediamo sabato.,Uvidíme se v sobotu.,ne,ano,m
domenica,neděle,374,Domenica partono per l'Italia.,V neděli odjíždějí do Itálie.,ne,ano,f
quanto,kolik,375,Quanto tempo?,Jak dloho?,ne,ano,
