IT,CZ,Order,Sentence,SentenceT,L,HT,gender_it
quante,kolik,256,Quante persone arrivano stasera?,Kolik lidí přijde dnes večer?,ne,ano,
porco,prase,257,Il porco vive nella fattoria.,Prase žije na farmě.,ne,ne,m
cartolina,pohlednice,258,Ti mando una cartolina da Roma.,Pošlu ti pohlednici z Říma.,ne,ne,f
libro,kniha,259,Leggo un libro prima di dormire.,Před spaním čtu knihu.,ne,ne,m
solo,"sám, pouze, jen",260,Oggi sono solo a casa.,Dnes jsem sám doma.,ne,ne,
davvero,"opravdu, skutečně",261,È davvero una bella città.,Je to opravdu krásné město.,ne,ano,
che,že,262,Penso che hai ragione.,"Myslím, že máš pravdu.",ne,ano,
gentile,"laskavý, milý, zdvořilý",263,Sei molto gentile.,Jsi velmi milý.,ne,ne,
stanco,unavený,264,Oggi sono stanco.,Dnes jsem unavený.,ne,ne,
purtroppo,bohužel,265,Purtroppo oggi non posso venire.,Bohužel dnes nemohu přijít.,ne,ano,
dolce,"sladký, sladkost, jemný, něžný",266,Questo tè è troppo dolce. Ha una voce dolce.,Tento čaj je příliš sladký. Má jemný hlas.,ne,ne,
un po’,trochu,267,Sono un po’ stanco.,Jsem trochu unavený.,ne,ano,
malato,nemocný,268,Oggi sono malato.,Dnes jsem nemocný.,ne,ano,
buonanotte,dobrou noc,269,"Buonanotte, a domani.","Dobrou noc, zítra na shledanou",ne,ne,
debole,slabý,270,Sono ancora debole.,Jsem ještě slabý.,ne,ano,
preferire,"preferovat, dávat přednost",271,Preferisco il tè al caffè.,Dávám přednost čaji před kávou.,ne,ne,
pallacanestro,basketbal,272,Mio figlio gioca a pallacanestro.,Můj syn hraje basketbal.,ne,ne,f
pallavolo,volejbal,273,Mio figlio gioca a pallavolo.,Můj syn hraje volejbal.,ne,ne,f
camminare,"chodit, kráčet",274,Mi piace camminare nel bosco.,Rád chodím po lese.,ne,ne,
odiare,nenávidět,275,Odio aspettare troppo.,Nenávidím dlouhé čekání.,ne,ne,
abbastanza,"dost, docela",276,Il campeggio è abbastanza vicino.,Kemp je docela blízko.,ne,ano,
aereo,letadlo,277,Preferiamo l'aereo.,Máme raději letadlo.,ne,ano,m
alzarsi,"vstát, vstávat",278,Domani mi alzo molto presto.,Zítra vstávám velmi brzy.,ne,ano,
ancora,ještě,279,Non conosciamo ancora questa città.,Tohle město ještě neznáme.,ne,ano,
anno,rok,280,Quest'anno andiamo in Italia.,Letos jedeme do Itálie.,ne,ano,m
aprire,otevřít,281,"Apri la finestra, per favore.","Otevři okno, prosím.",ne,ano,
asciugamano,ručník,282,Ecco un asciugamano pulito.,Tady je čistý ručník.,ne,ano,m
auto,auto,283,Andate in auto o in treno?,Jedete autem nebo vlakem?,ne,ano,f
automobilismo,automobilismus,284,Loro s'interessano molto di automobilismo.,Hodně se zajímají o automobilismus.,ne,ano,m
caffè,káva,285,Preferisco il tè al caffè.,Dávám přednost čaji před kávou.,ne,ne,m
campeggio,kemp,286,Dov'è il campeggio?,Kde je kemp?,ne,ano,m
capire,"rozumět, chápat",287,Capisci quando il dottore parla italiano?,"Rozumíš, když doktor mluví italsky?",ne,ano,
caro,drahý,288,"Ma l'aereo è troppo caro, no?","Ale letadlo je příliš drahé, ne?",ne,ano,
certamente,"určitě, jistě",289,"Certamente, ma non per molto tempo.","Určitě, ale ne na dlouho.",ne,ano,
chiamarsi,jmenovat se,290,Come si chiama la sorella di Luca?,Jak se jmenuje Lukášova sestra?,ne,ano,
chiuso,"zavřený, zavřeno",291,Il museo è chiuso oggi.,Muzeum je dnes zavřené.,ne,ano,
città,město,292,Dobbiamo vedere anche altre città interessanti.,Musíme vidět i další zajímavá města.,ne,ne,f
costare,stát peníze,293,Quanto costa il volo per Parigi?,Kolik stojí let do Paříže?,ne,ano,
cuore,srdce,294,"Mano fredda, cuore caldo.","Studená ruka, vřelé srdce.",ne,ano,m
destro,"pravý, a destra vpravo, napravo",295,Gira a destra.,Odboč doprava.,ne,ano,
difficile,"těžký, nesnadný",296,Deve essere difficile per uno straniero.,Pro cizince to musí být těžké.,ne,ano,
dormire,spát,297,Non posso dormire.,Nemohu spát.,ne,ne,
dottore,"doktor, lékař",298,Il dottore parla troppo in fretta.,Doktor mluví příliš rychle.,ne,ne,m
dovere,"muset, mít povinnost",299,Devo partire per Genova.,Musím jet do Janova.,ne,ano,
dritto,"rovně, přímo",300,Dovete andare sempre dritto.,Musíte jet pořád rovně.,ne,ano,
elegante,elegantní,301,Luisa è molto elegante.,Luisa je velmi elegantní.,ne,ano,
facile,"lehký, snadný",302,Per me non è facile.,Pro mě to není snadné.,ne,ano,
fermarsi,"zdržet se, zastavit se",303,Vi fermate anche a Roma?,Zastavíte se také v Římě?,ne,ano,
finestra,okno,304,La finestra è aperta.,Okno je otevřené.,ne,ano,f
finire,skončit,305,La lezione finisce alle cinque.,Lekce končí v pět.,ne,ano,
formula,formule,306,Seguono sempre le gare di Formula Uno.,Vždycky sledují závody Formule 1.,ne,ano,f
foto,"fotka, fotografie",307,Guardo la foto di Roma.,Dívám se na fotku Říma.,ne,ano,f
Francia,Francie,308,Partiamo per la Francia.,Jedeme do Francie.,ne,ano,
freddo,studený,309,"Mano fredda, cuore caldo.","Studená ruka, vřelé srdce.",ne,ano,
fretta,"spěch, in fretta rychle",310,Parli troppo in fretta.,Mluvíš moc rychle.,ne,ano,f
gara,závod,311,Seguono sempre le gare di Formula Uno.,Vždycky sledují závody Formule 1.,ne,ano,f
giovane,mladý,312,Mio padre è ancora giovane.,Můj otec je ještě mladý.,ne,ano,
Giovanni,Jan,313,Quando vengono gli amici di Giovanni?,Kdy přijedou Janovi přátelé?,ne,ano,
girare,"otočit, odbočit, zahnout",314,Poi girate a destra e dopo il ponte a sinistra.,Pak zahněte doprava a za mostem doleva.,ne,ano,
Giulia,Julie,315,Viene anche Giulia?,Přijde také Julie?,ne,ano,
interessare,zajímat,316,Questo programma mi interessa molto.,Tento program mě velmi zajímá.,ne,ano,
interessarsi di,zajímat se o,317,Loro s'interessano molto di automobilismo.,Hodně se zajímají o automobilismus.,ne,ano,
là,tam,318,È là.,Je tamhle.,ne,ano,
lavare,"umýt, prát",319,Una mano lava l'altra.,Ruka ruku myje.,ne,ano,
lavarsi,umýt se,320,Posso lavarmi le mani?,Mohu si umýt ruce?,ne,ano,
lentamente,pomalu,321,Il dottore non parla proprio lentamente.,Doktor opravdu nemluví pomalu.,ne,ano,
Luca,Lukáš,322,La sorella di Luca viene con me.,Lukášova sestra jede se mnou.,ne,ano,
Luisa,Luisa,323,Luisa è molto elegante.,Luisa je velmi elegantní.,ne,ne,
lungo,dlouhý,324,Il viaggio in treno è lungo.,Cesta vlakem je dlouhá.,ne,ano,
mano,ruka,325,Una mano lava l'altra.,Ruka ruku myje.,ne,ano,f
Margherita,Markéta,326,Margherita viene con noi.,Markéta jde s námi.,ne,ne,
mattina,ráno,327,Mercoledì mattina partiamo presto.,Ve středu ráno odjíždíme brzy.,ne,ano,f
me,"mně, mě, mi",328,Per me è lo stesso.,Mně je to jedno.,ne,ano,
Milano,Milán,329,C'è un volo per Milano adesso?,Letí teď něco do Milána?,ne,ne,
nave,loď,330,Ci vado con la nave.,Pojedu tam lodí.,ne,ano,f
niente,"nic, není zač",331,Di niente.,Není zač.,ne,ano,
ottimista,optimistický,332,Sono ottimista.,Jsem optimista.,ne,ano,
Parigi,Paříž,333,Quanto costa il volo per Parigi?,Kolik stojí let do Paříže?,ne,ano,
perché,"proč, protože",334,Perché parti così presto?,Proč odjíždíš tak brzy?,ne,ano,
ponte,most,335,Dopo il ponte girate a sinistra.,Za mostem zahněte doleva.,ne,ano,m
problema,problém,336,C'è un piccolo problema.,Je tu malý problém.,ne,ano,m
programma,program,337,Questo programma mi interessa molto.,Tento program mě velmi zajímá.,ne,ano,m
proprio,"právě, zrovna",338,Perché proprio là?,Proč právě tam?,ne,ano,
pulito,čistý,339,Ecco un asciugamano pulito.,Tady je čistý ručník.,ne,ano,
radio,"rádio, rozhlas",340,Ascolto la radio ogni mattina.,Každé ráno poslouchám rádio.,ne,ne,f
scusarsi,omluvit se,341,Mi scuso per il ritardo.,Omlouvám se za zpoždění.,ne,ano,
seguire,"sledovat, následovat",342,Seguono sempre le gare di Formula Uno.,Vždycky sledují závody Formule 1.,ne,ano,
sentire,"cítit, slyšet",343,Sento un rumore strano.,Slyším zvláštní zvuk.,ne,ano,
sentirsi,cítit se,344,Oggi non mi sento molto bene.,Dnes se necítím moc dobře.,ne,ano,
servire,"sloužit, obsluhovat",345,A che serve?,K čemu to je?,ne,ano,
sinistro,"levý, a sinistra vlevo, nalevo",346,La mano sinistra mi fa male.,Levá ruka mě bolí.,ne,ano,
sole,slunce,347,Niente di nuovo sotto il sole.,Nic nového pod sluncem.,ne,ano,m
sotto,pod,348,Niente di nuovo sotto il sole.,Nic nového pod sluncem.,ne,ano,
sporco,špinavý,349,Il bagno è sporco.,Koupelna je špinavá.,ne,ano,
stesso,"tentýž, stejný",350,Per me è lo stesso.,Mně je to jedno.,ne,ano,
stipendio,"plat, výplata",351,Il mio stipendio non è alto.,Můj plat není vysoký.,ne,ano,m
straniero,cizinec,352,Per uno straniero non è facile.,Pro cizince to není snadné.,ne,ano,m
tempo,"čas, počasí",353,"Certamente, ma non per molto tempo.","Určitě, ale ne na dlouho.",ne,ano,m
turista,"turista, turistka",354,Il turista cerca il campeggio.,Turista hledá kemp.,ne,ne,
tutti,všichni,355,Tutti sono pronti. Tutti e due.,Všichni jsou připraveni. Oba.,ne,ano,
tutto,"všechno, celý",356,Va tutto bene?,Je všechno v pořádku?,ne,ano,
"vacanza, vacanze","dovolená, prázdniny",357,Dove andate in vacanza quest'anno?,Kam jedete letos na dovolenou?,ne,ano,f
vecchio,starý,358,Questo ponte è vecchio.,Tento most je starý.,ne,ano,
vedere,vidět,359,Ci vediamo sabato.,Uvidíme se v sobotu.,ne,ano,
venire,"přijít, přijet, jít, jet s kým",360,Vengo con te.,Půjdu s tebou.,ne,ano,
vero,"pravý, pravdivý, opravdový",361,È vero.,To je pravda.,ne,ano,
viaggio,cesta,362,Il viaggio in treno è lungo.,Cesta vlakem je dlouhá.,ne,ano,m
vicino a,blízko,363,Il campeggio è vicino al ponte.,Kemp je blízko mostu.,ne,ano,
volo,let,364,C'è un volo per Milano adesso?,Letí teď něco do Milána?,ne,ano,m
vulcano,sopka,365,L'Etna è un vulcano.,Etna je sopka.,ne,ne,m
lunedì,pondělí,366,Parto lunedì.,Odjíždím v pondělí.,ne,ano,m
giovedì,čtvrtek,367,Ci vediamo giovedì sera.,Uvidíme se ve čtvrtek večer.,ne,ano,m
venerdì,pátek,368,Preferisci venerdì?,Raději v pátek?,ne,ano,m
martedì,úterý,369,Lunedì o martedì.,V pondělí nebo v úterý.,ne,ano,m
mercoledì,středa,370,Partiamo mercoledì mattina.,Odjíždíme ve středu ráno.,ne,ano,m
sabato,sobota,371,Ci vediamo sabato.,Uvidíme se v sobotu.,ne,ano,m
domenica,neděle,372,Domenica partono per l'Italia.,V neděli odjíždějí do Itálie.,ne,ano,f
quanto,kolik,373,Quanto tempo?,Jak dloho?,ne,ano,
ammalato,nemocný,374,"Come vedo, sei ammalata.","Jak vidím, jsi nemocná.",ne,ano,
bicicletta,jízdní kolo,375,Vai in bicicletta?,Jezdíš na kole?,ne,ano,f
bisogno,potřeba,376,Di che cosa ha bisogno?,Co potřebujete?,ne,ano,m
chiudere,zavřít,377,Perché chiudi la finestra?,Proč zavíráš okno?,ne,ano,
cielo,"obloha, nebe",378,Il cielo è coperto.,Je zataženo.,ne,ano,m
collega,kolega,379,"Certo, siamo colleghi.","Samozřejmě, jsme kolegové.",ne,ano,m
colore,barva,380,Di che colore è la macchina di Pietro?,Jakou barvu má Petrovo auto?,ne,ano,m
cominciare,"začít, začínat",381,Comincia a piovere.,Začíná pršet.,ne,ano,
coperto,"zatažený, pokrytý",382,Il cielo è coperto.,Je zataženo.,ne,ano,
corso,kurz,383,Segue un corso d'italiano?,Chodíte do kurzu italštiny?,ne,ano,m
desiderare,přát si,384,Desidera altro?,Přejete si ještě něco?,ne,ano,
divertimento,zábava,385,Buon divertimento!,Hezkou zábavu.,ne,ano,m
dizionario,slovník,386,Avete un dizionario italiano-ceco?,Máte italsko-český slovník?,ne,ano,m
dopodomani,pozítří,387,Già dopodomani.,Už pozítří.,ne,ano,
fame,hlad,388,Avete fame?,Máte hlad?,ne,ano,f
film,film,389,"Hai voglia di venire con me a vedere il film ""La vita è bella""?","Máš chuť jít se mnou na film ""Život je krásný""?",ne,ne,m
frequentare,navštěvovat,390,Però frequento una scuola per interpreti.,Ale chodím do školy pro tlumočníky.,ne,ano,
fuori,"ven, venku",391,Fa freddo fuori?,Je venku zima?,ne,ano,
gita,výlet,392,Domani facciamo una gita.,Zítra jedeme na výlet.,ne,ano,f
grave,"vážný, těžký",393,Non è così grave.,Není to tak zlé.,ne,ano,
grigio,šedý,394,È grigio.,Je šedá.,ne,ano,
incontrarsi,"setkat se, sejít se",395,Ci incontriamo un altro giorno.,Sejdeme se jiný den.,ne,ano,
infatti,"opravdu, to je fakt",396,"Sì, infatti.","Ano, to je fakt.",ne,ano,
ingegnere,inženýr,397,"Buongiorno, ingegnere.","Dobrý den, pane inženýre.",ne,ano,m
Inghilterra,Anglie,398,Adesso deve andare per qualche mese in Inghilterra.,Teď musí jet na několik měsíců do Anglie.,ne,ano,f
interprete,tlumočník,399,Lei fa l'interprete?,Jste tlumočník?,ne,ano,
libreria,knihkupectví,400,"Scusi, c'è una libreria qui vicino?","Promiňte, je tu někde blízko knihkupectví?",ne,ano,f
lingua,jazyk,401,Conosce altre lingue straniere?,Znáte jiné cizí jazyky?,ne,ano,f
Londra,Londýn,402,"A Londra, dove ha una zia.","Do Londýna, kde má tetu.",ne,ano,f
medico,"doktor, lékař",403,Devo chiamare il medico?,Mám zavolat doktora?,ne,ano,m
montagna,"hora, hory",404,Dove andate? In montagna.,Kam jedete? Na hory.,ne,ano,f
ombrello,deštník,405,Allora devo prendere l'ombrello.,Tak si musím vzít deštník.,ne,ano,m
passo,krok,406,"È a due passi, in questa strada.","Je to pár kroků odtud, v téhle ulici.",ne,ano,m
piantina,"plánek, mapka",407,Ho bisogno di una piantina di Roma.,Potřebuji plán Říma.,ne,ano,f
piovere,pršet,408,Proprio ora comincia a piovere.,Právě teď začíná pršet.,ne,ano,
pomeriggio,odpoledne,409,Hai tempo oggi pomeriggio?,Máš čas dnes odpoledne?,ne,ano,m
privato,soukromý,410,Prendo lezioni private da una professoressa.,Chodím na soukromé hodiny k jedné profesorce.,ne,ano,
professoressa,profesorka,411,Prendo lezioni private da una professoressa.,Chodím na soukromé hodiny k jedné profesorce.,ne,ano,f
qualche cosa,něco,412,Mangiamo qualche cosa?,Dáme si něco?,ne,ano,
ragione,"pravda, důvod",413,"Già, ha ragione.","Ano, máte pravdu.",ne,ano,f
ristorante,restaurace,414,Vai in quel nuovo ristorante?,Jdeš do té nové restaurace?,ne,ano,m
sete,žízeň,415,Hai sete?,Máš žízeň?,ne,ano,f
signorina,slečna,416,"Prego, signorina.","Prosím, slečno.",ne,ano,f
stare,"být, mít se, zůstat",417,"Come sta? Bene, grazie, e Lei?","Jak se máte? Dobře, děkuji, a vy?",ne,ano,
strada,"cesta, ulice, silnice",418,"È a due passi, in questa strada.","Je to pár kroků odtud, v téhle ulici.",ne,ano,f
Svezia,Švédsko,419,Ora è in viaggio d'affari in Svezia.,Teď je na služební cestě ve Švédsku.,ne,ano,f
tascabile,kapesní,420,Prendo questo tascabile.,Vezmu si tenhle kapesní.,ne,ano,
televisione,televize,421,Perché oggi non guardi la televisione?,Proč se dnes nedíváš na televizi?,ne,ano,f
testa,hlava,422,Ho mal di testa.,Bolí mě hlava.,ne,ano,f
vita,život,423,La vita è bella.,Život je krásný.,ne,ano,f
voglia,chuť,424,Hai voglia di venire con noi?,Máš chuť jít s námi?,ne,ano,f
lasciare stare,nechat být,425,Lasciamo stare.,Necháme to být.,ne,ano,
fare due passi,jít na krátkou procházku,426,Andate a fare due passi?,Jdete na procházku?,ne,ano,
fare,dělat,427,Che cosa vuoi fare oggi?,Co chceš dnes dělat?,ne,ano,
noioso,nudný,428,Questo libro non è noioso.,Tato kniha není nudná.,ne,ano,
ascoltare,poslouchat,429,Mi piace ascoltare la musica.,Rád poslouchám hudbu.,ne,ano,
carne,maso,430,Preferisco la carne al pesce.,Dávám přednost masu před rybou.,ne,ano,f
famoso,"slavný, známý",431,Questo attore è molto famoso.,Tento herec je velmi slavný.,ne,ano,
comprare,"koupit, kupovat",432,Domani compriamo la frutta al mercato.,Zítra koupíme ovoce na trhu.,ne,ano,
isola,ostrov,433,Vorrei visitare un’isola greca.,Chtěl bych navštívit nějaký řecký ostrov.,ne,ano,f
antico,"starobylý, dávný, antický",434,Hanno trovato un vaso antico.,Našli starobylou vázu. Mi piace la storia antica.,ne,ano,
ambasciata,velvyslanectví,435,Lavora all’ambasciata italiana.,Pracuje na italské ambasádě.,ne,ano,f
Brasile,Brazílie,436,Il Brasile è un paese molto grande.,Brazílie je velmi velká země.,ne,ano,m
marrone,hnědý,437,Ho una giacca marrone.,Mám hnědou bundu.,ne,ano,
calzini,ponožky,438,In inverno porto calzini caldi.,V zimě nosím teplé ponožky.,ne,ano,
viola,fialový,439,Ho comprato dei fiori viola.,Koupil jsem fialové květiny.,ne,ano,
guanti,rukavice,440,I guanti neri sono sul tavolo.,Černé rukavice jsou na stole.,ne,ano,
pantaloni,kalhoty,441,I pantaloni nuovi mi stanno bene.,Nové kalhoty mi dobře sedí.,ne,ano,
cintura,pásek,442,Questa cintura è troppo lunga.,Tento pásek je příliš dlouhý.,ne,ano,f
anello,"prsten, kruh",443,Porta un anello d’oro.,Nosí zlatý prsten.,ne,ano,m
rotto,rozbitý,444,Il mio telefono è rotto.,Můj telefon je rozbitý.,ne,ne,
orologio,"hodiny, hodinky",445,Il mio orologio è nuovo.,Moje hodinky jsou nové.,ne,ne,m
nove,devět,446,Ho nove libri.,Mám devět knih.,ne,ne,
otto,osm,447,Ho otto euro.,Mám osm eur.,ne,ne,
in contanti,v hotovosti,448,Pago in contanti.,Platím v hotovosti.,ne,ne,
carta di credito,kreditní karta,449,Pago con la carta di credito.,Platím kreditní kartou.,ne,ne,f
paese,země; stát; vesnice; obec; kraj podle kontextu,450,Il Brasile è un grande paese.,Brazílie je velká země.,ne,ne,m
quartiere,"čtvrť, městská část",451,Abito in un quartiere tranquillo.,Bydlím v klidné čtvrti.,ne,ne,m
albero,strom,452,C’è un grande albero davanti alla casa.,Před domem je velký strom.,ne,ne,m
giardino,zahrada,453,Abbiamo un piccolo giardino dietro la casa.,Máme malou zahradu za domem.,ne,ne,m
coinquilino,spolubydlící,454,I miei coinquilini sono molto simpatici.,Moji spolubydlící jsou velmi sympatičtí.,ne,ne,m
animale domestico,domácí zvíře,455,Ho due animali domestici: un cane e un gatto.,Mám dvě domácí zvířata: psa a kočku.,ne,ne,m
festa,"oslava, svátek, párty",456,A Natale facciamo una festa in famiglia.,O Vánocích máme rodinnou oslavu.,ne,ne,f
auguri,"přání, gratulace, blahopřání",457,Tanti auguri di buon compleanno!,Všechno nejlepší k narozeninám!,ne,ne,m
comprendere,"chápat, rozumět, zahrnovat",458,Non comprendo questa domanda.,Nechápu tuto otázku.,ne,ne,
sciarpa,šála,459,In inverno porto una sciarpa calda.,V zimě nosím teplou šálu.,ne,ne,f
collana,náhrdelník,460,Ho regalato una collana a mia moglie.,Daroval jsem své ženě náhrdelník.,ne,ne,f
congratulazione,"gratulace, blahopřání",461,Congratulazioni per il tuo successo!,Gratuluji k tvému úspěchu!,ne,ne,f
già,"již, už",462,Abbiamo già visto questo film.,Už jsme ten film viděli.,ne,ne,
mai,"nikdy, někdy v otázce",463,Non vado mai lì. Hai mai visitato Roma?,Nikdy tam nechodím. Navštívil jsi někdy Řím?,ne,ne,
