EN,CZ,Order,Sentence,SentenceT,WS,L,HT
pump,pumpa,280,The old pump brings water from the ground.,Stará pumpa čerpá vodu ze země.,Things|Benji,ne,ne
get,dostat,281,I get a present on my birthday.,K narozeninám dostanu dárek.,Actions|Benji,ne,ne
bucket,"vědro, kbelík",282,The bucket is full of clean water.,Kbelík je plný čisté vody.,Things|Benji,ne,ne
empty,prázdný,283,The glass is empty now.,Sklenice je teď prázdná.,Benji,ne,ne
I don't know,nevím,284,I don't know the answer yet.,Ještě nevím odpověď.,Benji,ne,ne
forest,les,285,We walk quietly through the green forest.,Tiše procházíme zeleným lesem.,Benji,ne,ne
handle,páka,286,Push the handle down to pump the water.,"Stlač páku dolů, abys napumpoval vodu.",Things|Benji,ne,ne
push,tlačit,287,Push the heavy door slowly.,Pomalu zatlač na těžké dveře.,Actions|Benji,ne,ne
come closer,přijít blíž,288,Come closer so you can see the map.,"Přijď blíž, abys viděl mapu.",Actions|Benji,ne,ne
chase,honit,289,The dog does not chase the sheep.,Pes nehoní ovce.,Actions|Benji,ne,ne
little animals,malá zvířátka,290,The little animals hide under the tree.,Malá zvířátka se schovávají pod stromem.,Animals|Benji,ne,ne
trust,důvěřovat,291,The little animals trust their friend.,Malá zvířátka důvěřují svému kamarádovi.,Actions|Benji,ne,ne
eat,jíst,292,We eat lunch together at noon.,V poledne spolu jíme oběd.,Actions|Benji,ne,ne
own,vlastní,293,The rabbit has its own carrots.,Králík má vlastní mrkev.,Benji,ne,ne
gate,branka,294,The farmer opens the gate for us.,Farmář nám otevírá branku.,Things|Benji,ne,ne
closed,zavřený,295,The shop is closed today.,Obchod je dnes zavřený.,Benji,ne,ne
squirrel,veverka,296,A squirrel jumps from tree to tree.,Veverka skáče ze stromu na strom.,Animals|Benji,ne,ne
question,otázka,297,The teacher asks a simple question.,Učitel pokládá jednoduchou otázku.,Benji,ne,ne
answer,odpověď,298,I know the answer to this question.,Znám odpověď na tuto otázku.,Benji,ne,ne
catch,chytit,299,Can you catch the red ball?,Dokážeš chytit červený míč?,Actions|Benji,ne,ne
yard,dvorek,300,The chickens walk around the farm yard.,Slepice chodí po dvorku farmy.,Benji,ne,ne
badger,jezevec,301,A badger comes out of its den at night.,Jezevec vychází v noci ze svého doupěte.,Animals|Benji,ne,ne
dig,hrabat,302,The badger can dig under the fence.,Jezevec umí hrabat pod plotem.,Actions|Benji,ne,ne
under,pod,303,The key is under the book.,Klíč je pod knihou.,Benji,ne,ne
fence,plot,304,The sheep stand behind the wooden fence.,Ovce stojí za dřevěným plotem.,Things|Benji,ne,ne
believe,věřit,305,I believe you because you tell the truth.,"Věřím ti, protože říkáš pravdu.",Actions|Benji,ne,ne
a,neurčitý člen,306,I can see a cat.,Vidím kočku.,Benji,ne,ne
about,o,307,Tell me about your dog.,Pověz mi o svém psovi.,Benji,ne,ne
across,přes; na druhou stranu,308,We walk across the bridge.,Jdeme přes most.,Benji,ne,ne
adventure,dobrodružství,309,Our adventure starts in the forest.,Naše dobrodružství začíná v lese.,Benji,ne,ne
all,všichni; všechno,310,All my friends are here.,Všichni moji kamarádi jsou tady.,Benji,ne,ne
and,a,311,I have a book and a pencil.,Mám knihu a tužku.,Benji,ne,ne
at,u; v,312,We meet at the gate.,Sejdeme se u branky.,Benji,ne,ne
be,být,313,I want to be your friend.,Chci být tvůj kamarád.,Benji,ne,ne
beautiful,krásný,314,The garden is beautiful.,Zahrada je krásná.,Benji,ne,ne
birthday,narozeniny,315,Today is my birthday.,Dnes mám narozeniny.,Benji,ne,ne
brave,statečný,316,The brave dog helps his friends.,Statečný pes pomáhá svým kamarádům.,Benji,ne,ne
bridge,most,317,The bridge goes across the river.,Most vede přes řeku.,Benji,ne,ne
brown,hnědý,318,The bear is brown.,Medvěd je hnědý.,Benji,ne,ne
cheer,povzbuzovat; jásat,319,We cheer for our friend.,Povzbuzujeme našeho kamaráda.,Benji,ne,ne
color,barva,320,What color is your bag?,Jakou barvu má tvoje taška?,Benji,ne,ne
continue,pokračovat,321,We can continue our journey.,Můžeme pokračovat v cestě.,Benji,ne,ne
cross,přejít; překročit,322,We cross the bridge together.,Společně přejdeme most.,Benji,ne,ne
dance,tancovat,323,We dance at the party.,Tancujeme na oslavě.,Benji,ne,ne
day,den,324,Today is a happy day.,Dnes je šťastný den.,Benji,ne,ne
do,dělat,325,What do you want to do?,Co chceš dělat?,Benji,ne,ne
dream,sen,326,I had a dream about a rabbit.,Zdál se mi sen o králíkovi.,Benji,ne,ne
eleven,jedenáct,327,There are eleven pencils in the box.,V krabici je jedenáct tužek.,Benji,ne,ne
else,jiný; další,328,Ask someone else for help.,Požádej o pomoc někoho jiného.,Benji,ne,ne
energy,energie,329,I have lots of energy today.,Dnes mám hodně energie.,Benji,ne,ne
excellent,výborný,330,That is an excellent answer.,To je výborná odpověď.,Benji,ne,ne
finish,dokončit,331,We finish the lesson together.,Společně dokončíme lekci.,Benji,ne,ne
first,první; nejdříve,332,I will go first.,Půjdu první.,Benji,ne,ne
for,pro,333,This apple is for you.,Tohle jablko je pro tebe.,Benji,ne,ne
from,z; od,334,The rabbit comes from the forest.,Králík přichází z lesa.,Benji,ne,ne
full,plný,335,The basket is full of apples.,Košík je plný jablek.,Benji,ne,ne
give,dát,336,Please give me the book.,Prosím dej mi tu knihu.,Benji,ne,ne
gone,pryč,337,The old bridge is gone.,Starý most je pryč.,Benji,ne,ne
great,skvělý,338,You have a great idea.,Máš skvělý nápad.,Benji,ne,ne
guard,hlídat; strážce,339,The dog can guard the gate.,Pes může hlídat branku.,Benji,ne,ne
happiness,štěstí; radost,340,I wish you happiness.,Přeji ti štěstí.,Benji,ne,ne
have,mít,341,I have a small bag.,Mám malou tašku.,Benji,ne,ne
he,on,342,He is my friend.,On je můj kamarád.,Benji,ne,ne
health,zdraví,343,I wish you good health.,Přeji ti hodně zdraví.,Benji,ne,ne
heavy,těžký,344,My bag is too heavy.,Moje taška je příliš těžká.,Benji,ne,ne
her,ji; jí; její,345,I can help her.,Mohu jí pomoci.,Benji,ne,ne
here,tady; sem,346,Your book is here.,Tvoje kniha je tady.,Benji,ne,ne
hi,ahoj,347,"Hi, I am your new friend.","Ahoj, jsem tvůj nový kamarád.",Benji,ne,ne
him,ho; mu,348,Give him the map.,Dej mu tu mapu.,Benji,ne,ne
inside,uvnitř; dovnitř,349,Look inside the box.,Podívej se dovnitř krabice.,Benji,ne,ne
it,ono; to,350,It is a small rabbit.,Je to malý králík.,Benji,ne,ne
job,práce; úkol,351,You did a good job.,Odvedl jsi dobrou práci.,Benji,ne,ne
joy,radost,352,Your smile brings me joy.,Tvůj úsměv mi přináší radost.,Benji,ne,ne
know,vědět; znát,353,I know the way to the lake.,Znám cestu k jezeru.,Benji,ne,ne
laugh,smát se,354,We laugh at the funny story.,Smějeme se legračnímu příběhu.,Benji,ne,ne
laughter,smích,355,The room is full of laughter.,Místnost je plná smíchu.,Benji,ne,ne
lesson,lekce; vyučovací hodina,356,Our English lesson starts now.,Naše hodina angličtiny začíná právě teď.,Benji,ne,ne
let,nechat; dovolit,357,Please let me help you.,"Prosím dovol mi, abych ti pomohl.",Benji,ne,ne
listen,poslouchat,358,Listen to the bird.,Poslouchej ptáka.,Benji,ne,ne
little,malý,359,A little rabbit sits under the tree.,Malý králík sedí pod stromem.,Benji,ne,ne
log,kláda,360,We put a log across the stream.,Položíme kládu přes potok.,Benji,ne,ne
lots of,hodně,361,There are lots of flowers here.,Je tady hodně květin.,Benji,ne,ne
lovely,půvabný; krásný,362,We have a lovely garden.,Máme krásnou zahradu.,Benji,ne,ne
many,mnoho,363,There are many birds in the tree.,Na stromě je mnoho ptáků.,Benji,ne,ne
me,mě; mně,364,Please help me.,Prosím pomoz mi.,Benji,ne,ne
more,více; další,365,I have one more question.,Mám ještě jednu otázku.,Benji,ne,ne
my,můj,366,This is my book.,Tohle je moje kniha.,Benji,ne,ne
need,potřebovat,367,We need some water.,Potřebujeme trochu vody.,Benji,ne,ne
nice,hezký; milý,368,Have a nice day.,Přeji ti hezký den.,Benji,ne,ne
nine,devět,369,I can see nine stars.,Vidím devět hvězd.,Benji,ne,ne
no,ne,370,"No, I do not want any milk.","Ne, nechci žádné mléko.",Benji,ne,ne
not,ne; zápor,371,The bag is not heavy.,Taška není těžká.,Benji,ne,ne
now,teď,372,We can go now.,Teď můžeme jít.,Benji,ne,ne
of,z,373,One of the apples is green.,Jedno z jablek je zelené.,Benji,ne,ne
on,na,374,The book is on the table.,Kniha je na stole.,Benji,ne,ne
only,jen; pouze,375,I have only one pencil.,Mám jen jednu tužku.,Benji,ne,ne
open,otevřený; otevřít,376,Please open the door.,Prosím otevři dveře.,Benji,ne,ne
or,nebo,377,Do you want an apple or a banana?,"Chceš jablko, nebo banán?",Benji,ne,ne
party,oslava; večírek,378,We have a birthday party today.,Dnes máme narozeninovou oslavu.,Benji,ne,ne
reason,důvod,379,Tell me the reason.,Řekni mi důvod.,Benji,ne,ne
remember,pamatovat si,380,Do you remember my name?,Pamatuješ si moje jméno?,Benji,ne,ne
safe,bezpečný,381,The bridge is safe.,Most je bezpečný.,Benji,ne,ne
safely,bezpečně,382,We cross the road safely.,Bezpečně přejdeme silnici.,Benji,ne,ne
save,zachránit,383,We can save the little bird.,Můžeme zachránit malého ptáčka.,Benji,ne,ne
school,škola,384,I walk to school with my friend.,Chodím do školy s kamarádem.,Benji,ne,ne
second,sekunda; druhý,385,"Wait a second, please.",Počkej prosím chvilku.,Benji,ne,ne
smile,usmívat se; úsměv,386,I smile when I see my friends.,"Usmívám se, když vidím své kamarády.",Benji,ne,ne
so,tak; tak moc,387,I am so happy today.,Dnes jsem tak šťastný.,Benji,ne,ne
some,nějaký; trochu,388,Please give me some water.,Prosím dej mi trochu vody.,Benji,ne,ne
someone,někdo,389,Someone is at the door.,Někdo je u dveří.,Benji,ne,ne
special,zvláštní; výjimečný,390,Today is a special day.,Dnes je výjimečný den.,Benji,ne,ne
stay,zůstat,391,Please stay here with me.,Prosím zůstaň tady se mnou.,Benji,ne,ne
step,krok,392,Take one small step.,Udělej jeden malý krok.,Benji,ne,ne
stop,zastavit; přestat,393,Stop at the gate.,Zastav se u branky.,Benji,ne,ne
stream,potok,394,A small stream flows through the forest.,Lesem protéká malý potok.,Benji,ne,ne
strong,silný; pevný,395,The bridge is strong.,Most je pevný.,Benji,ne,ne
tap,klepnout,396,Tap the picture of the rabbit.,Klepni na obrázek králíka.,Benji,ne,ne
ten,deset,397,There are ten apples in the basket.,V košíku je deset jablek.,Benji,ne,ne
that,tamten; že,398,That house is big.,Tamten dům je velký.,Benji,ne,ne
the,určitý člen,399,The cat is under the table.,Ta kočka je pod stolem.,Benji,ne,ne
there,tam,400,My friend is over there.,Můj kamarád je tamhle.,Benji,ne,ne
this,tento; tohle,401,This is my new bag.,Tohle je moje nová taška.,Benji,ne,ne
through,skrz; přes,402,We walk through the forest.,Jdeme lesem.,Benji,ne,ne
to,do; k,403,We go to the lake.,Jdeme k jezeru.,Benji,ne,ne
today,dnes,404,Today we visit our friends.,Dnes navštívíme své kamarády.,Benji,ne,ne
true,pravdivý; skutečný,405,Your dream can come true.,Tvůj sen se může splnit.,Benji,ne,ne
twelve,dvanáct,406,There are twelve months in a year.,V roce je dvanáct měsíců.,Benji,ne,ne
up,nahoru,407,Look up at the sky.,Podívej se nahoru na oblohu.,Benji,ne,ne
us,nás; nám,408,Please come with us.,Prosím pojď s námi.,Benji,ne,ne
want,chtít,409,I want to help my friend.,Chci pomoci svému kamarádovi.,Benji,ne,ne
watch,sledovat; dívat se,410,Watch me cross the bridge.,"Dívej se, jak přecházím most.",Benji,ne,ne
we,my,411,We are good friends.,Jsme dobří kamarádi.,Benji,ne,ne
what,co; jaký,412,What is in your bag?,Co je ve tvé tašce?,Benji,ne,ne
who,kdo,413,Who wants to go first?,Kdo chce jít první?,Benji,ne,ne
whole,celý,414,We spend the whole day together.,Trávíme spolu celý den.,Benji,ne,ne
why,proč,415,Why is the door closed?,Proč jsou dveře zavřené?,Benji,ne,ne
wide,široký,416,The river is very wide.,Řeka je velmi široká.,Benji,ne,ne
will,budu; bude; budoucí čas,417,I will help you tomorrow.,Zítra ti pomohu.,Benji,ne,ne
wish,přát si; přát,418,I wish you a happy birthday.,Přeji ti všechno nejlepší k narozeninám.,Benji,ne,ne
with,s,419,Come with me.,Pojď se mnou.,Benji,ne,ne
worry,dělat si starosti,420,Do not worry about the rain.,Nedělej si starosti s deštěm.,Benji,ne,ne
year,rok,421,A year has twelve months.,Rok má dvanáct měsíců.,Benji,ne,ne
yes,ano,422,"Yes, I can help you.","Ano, mohu ti pomoci.",Benji,ne,ne
yet,ještě; zatím,423,We are not ready yet.,Ještě nejsme připraveni.,Benji,ne,ne
you,ty; vy,424,You are my friend.,Ty jsi můj kamarád.,Benji,ne,ne
your,tvůj; váš,425,Is this your book?,Je to tvoje kniha?,Benji,ne,ne
