ES,CZ,Order,Sentence,SentenceT,L
el monte,hora,2801,En el mapa aparece el monte.,Na mapě je hora.,ne
¿A qué hora empiezan los clases?,V kolik hodin začíná vyučování?,2802,¿A qué hora empiezan los clases? es importante para este tema.,V kolik hodin začíná vyučování? je důležité pro tohle téma.,ne
¿Qué día es hoy? Hoy es martes …,Co je dnes za den? Dnes je úterý …,2803,"Sin ¿Qué día es hoy? Hoy es martes …, todo cambia.",Bez tohohle se všechno mění: Co je dnes za den? Dnes je úterý ….,ne
¿Cuándo jugáis el partido? Jugamos el sábado.,Kdy hrajete ten zápas? Hrajeme ho v sobotu.,2804,A veces ¿Cuándo jugáis el partido? Jugamos el sábado. sorprende.,Někdy překvapí tohle: Kdy hrajete ten zápas? Hrajeme ho v sobotu..,ne
ver la luz al final de túnel,vidět světlo na konci tunelu,2805,Intento ver la luz al final de túnel mejor cada día.,Snažím se vidět světlo na konci tunelu každý den lépe.,ne
el negocio / viaje de negocios,obchod,2806,En el mapa aparece el negocio.,Na mapě je obchod.,ne
el negocio / viaje de negocios,obchodování,2807,"Aquí está el negocio, justo delante.","Tady je obchodování, přímo před námi.",ne
el negocio / viaje de negocios,podnik / obchodní cesta,2808,En la caja hay el negocio.,V krabici je podnik.,ne
cerrar un negocio con algn,uzavřít obchod s kým,2809,Vamos a cerrar un negocio con algn un momento.,Pojďme uzavřít obchod s kým na chvilku.,ne
Sin mi ayuda tu negocio va a irse a pique.,Bez mé pomoci tvůj obchod zkrachuje.,2810,Ahora mismo pienso en Sin mi ayuda tu negocio va a irse a pique..,Teď myslím na tohle: Bez mé pomoci tvůj obchod zkrachuje..,ne
irse de la lengua / Ella siempre se va de la lengua.,pustit si pusu na špacír,2811,"Quiero irse de la lengua hoy, sin prisa.","Dnes chci pustit si pusu na špacír, bez spěchu.",ne
irse de la lengua / Ella siempre se va de la lengua.,vykecat něco / Ona vždy vše vykecá.,2812,Necesito irse de la lengua antes de salir.,Potřebuji vykecat něco před odchodem.,ne
¿Cuál de ustedes habla español?,Který z vás mluví španělsky?,2813,"Sin ¿Cuál de ustedes habla español?, todo cambia.",Bez tohohle se všechno mění: Který z vás mluví španělsky?.,ne
¿A cuáles de las chicas conoces?,Kterou z těch dívek znáš?,2814,A veces ¿A cuáles de las chicas conoces? sorprende.,Někdy překvapí tohle: Kterou z těch dívek znáš?.,ne
desagradar,nelíbit se,2815,Intento desagradar mejor cada día.,Snažím se nelíbit se každý den lépe.,ne
desagradar,hnusit se,2816,"Quiero desagradar hoy, sin prisa.","Dnes chci hnusit se, bez spěchu.",ne
la banda,kapela,2817,"Aquí está la banda, justo delante.","Tady je kapela, přímo před námi.",ne
la banda,banda,2818,En la caja hay la banda.,V krabici je banda.,ne
la banda,páska,2819,Necesito la banda para este trabajo.,Na tuhle práci potřebuji páska.,ne
la pancarta,transparent,2820,Hoy vemos la pancarta por primera vez.,Dnes poprvé vidíme transparent.,ne
la boca,ústa,2821,En el mapa aparece la boca.,Na mapě je ústa.,ne
la boca,pusa,2822,"Aquí está la boca, justo delante.","Tady je pusa, přímo před námi.",ne
la boca,ústí,2823,En la caja hay la boca.,V krabici je ústí.,ne
la boca,vchod,2824,Necesito la boca para este trabajo.,Na tuhle práci potřebuji vchod.,ne
abandonar / abandonarse,opustit,2825,Intento abandonar mejor cada día.,Snažím se opustit každý den lépe.,ne
abandonar / abandonarse,zanechat / oddat se,2826,"Quiero abandonar hoy, sin prisa.","Dnes chci zanechat, bez spěchu.",ne
abandonar / abandonarse,nechat se ovládnou čím,2827,Necesito abandonar antes de salir.,Potřebuji nechat se ovládnou čím před odchodem.,ne
el barco (pesquero),člun,2828,En la caja hay el barco.,V krabici je člun.,ne
el barco (pesquero),loď (rybářská),2829,Necesito el barco para este trabajo.,Na tuhle práci potřebuji loď.,ne
estar en el mismo barco,být na jedné lodi,2830,Intento estar en el mismo barco mejor cada día.,Snažím se být na jedné lodi každý den lépe.,ne
barco de vela,plachetnice,2831,Hoy hablamos de barco de vela un momento.,Dnes chvíli mluvíme o tomhle: plachetnice.,ne
la candela / la vela / el cirio,svíčka / svíčka,2832,"Aquí está la candela, justo delante.","Tady je svíčka, přímo před námi.",ne
la candela / la vela / el cirio,plachta / svíce,2833,En la caja hay la candela.,V krabici je plachta.,ne
la apariencia,vzhled,2834,Necesito la apariencia para este trabajo.,Na tuhle práci potřebuji vzhled.,ne
la apariencia,zevnějšek,2835,Hoy vemos la apariencia por primera vez.,Dnes poprvé vidíme zevnějšek.,ne
la apariencia,zdání,2836,En el mapa aparece la apariencia.,Na mapě je zdání.,ne
brillar,lesknout se,2837,Necesito brillar antes de salir.,Potřebuji lesknout se před odchodem.,ne
brillar,třpytit se,2838,Me gusta brillar cuando tengo tiempo.,"Když mám čas, baví mě třpytit se.",ne
brillar,excelovat,2839,Vamos a brillar un momento.,Pojďme excelovat na chvilku.,ne
subir en el ascensor / subir la escalera,vyjet výtahem / vyjít po schodech,2840,Intento subir en el ascensor mejor cada día.,Snažím se vyjet výtahem každý den lépe.,ne
subir,vystoupat,2841,"Quiero subir hoy, sin prisa.","Dnes chci vystoupat, bez spěchu.",ne
subir,zvednout,2842,Necesito subir antes de salir.,Potřebuji zvednout před odchodem.,ne
subir,zvýšit,2843,Me gusta subir cuando tengo tiempo.,"Když mám čas, baví mě zvýšit.",ne
subir,napnout,2844,Vamos a subir un momento.,Pojďme napnout na chvilku.,ne
subir al autobús,nastoupit do autobusu,2845,Intento subir al autobús mejor cada día.,Snažím se nastoupit do autobusu každý den lépe.,ne
subir las velas,napnout plachty,2846,"Quiero subir las velas hoy, sin prisa.","Dnes chci napnout plachty, bez spěchu.",ne
bajar / subir el volumen,ztlumit / zesílit zvuk,2847,Necesito bajar antes de salir.,Potřebuji ztlumit před odchodem.,ne
ni un paso atrás,ani krok zpět,2848,"Sin ni un paso atrás, todo cambia.",Bez tohohle se všechno mění: ani krok zpět.,ne
el paso,krok,2849,Necesito el paso para este trabajo.,Na tuhle práci potřebuji krok.,ne
el paso,průchod,2850,Hoy vemos el paso por primera vez.,Dnes poprvé vidíme průchod.,ne
el paso,průjezd,2851,En el mapa aparece el paso.,Na mapě je průjezd.,ne
paso (uvas pasas) / pasa,sušený (rozinky) / rozinka,2852,Hoy el día está paso.,Dnes je den sušený.,ne
uva tinta / negra,červené hrozny,2853,"Sin uva tinta, todo cambia.",Bez tohohle se všechno mění: červené hrozny.,ne
paso de peatones / cebra,přechod (pro chodce),2854,A veces paso de peatones sorprende.,Někdy překvapí tohle: přechod.,ne
paso elevado / paso subterráneo,nadchod,2855,Ahora mismo pienso en paso elevado.,Teď myslím na tohle: nadchod.,ne
paso elevado / paso subterráneo,nadjezd / podchod,2856,Hoy hablamos de paso elevado un momento.,Dnes chvíli mluvíme o tomhle: nadjezd.,ne
paso elevado / paso subterráneo,podjezd,2857,paso elevado es importante para este tema.,podjezd je důležité pro tohle téma.,ne
paso a nivel con barreras,železniční přejezd se závorami,2858,"Sin paso a nivel con barreras, todo cambia.",Bez tohohle se všechno mění: železniční přejezd se závorami.,ne
paso fronterizo,hraniční přechod,2859,A veces paso fronterizo sorprende.,Někdy překvapí tohle: hraniční přechod.,ne
prohibido el paso,vstup (průjezd) zakázán,2860,Ahora mismo pienso en prohibido el paso.,Teď myslím na tohle: vstup zakázán.,ne
paso a paso / Paso de eso.,krok za krokem,2861,Hoy hablamos de paso a paso un momento.,Dnes chvíli mluvíme o tomhle: krok za krokem.,ne
paso a paso / Paso de eso.,postupně / Na to se můžu vykašlat.,2862,paso a paso es importante para este tema.,postupně je důležité pro tohle téma.,ne
verdadero,pravdivý,2863,Su voz suena verdadero.,Jeho/její hlas zní pravdivý.,ne
verdadero,opravdový,2864,El paisaje es verdadero.,Krajina je opravdový.,ne
el varadero,dok,2865,Hoy vemos el varadero por primera vez.,Dnes poprvé vidíme dok.,ne
el valor,hodnota,2866,En el mapa aparece el valor.,Na mapě je hodnota.,ne
el valor,platnost,2867,"Aquí está el valor, justo delante.","Tady je platnost, přímo před námi.",ne
el valor,statečnost,2868,En la caja hay el valor.,V krabici je statečnost.,ne
Impuesto sobre el Valor Añadido (IVA),daň z přidané hodnoty (DPH),2869,A veces Impuesto sobre el Valor Añadido sorprende.,Někdy překvapí tohle: daň z přidané hodnoty.,ne
el impuesto,daň,2870,Hoy vemos el impuesto por primera vez.,Dnes poprvé vidíme daň.,ne
hombre de valor,statečný člověk,2871,Hoy hablamos de hombre de valor un momento.,Dnes chvíli mluvíme o tomhle: statečný člověk.,ne
merecer (se),zasloužit (si),2872,Necesito merecer antes de salir.,Potřebuji zasloužit před odchodem.,ne
merecer (se),zasluhovat,2873,Me gusta merecer cuando tengo tiempo.,"Když mám čas, baví mě zasluhovat.",ne
Me merezco un descanso. / Merece un castigo duro.,Zasloužím si odpočinek. / Zaslouží si tvrdý trest.,2874,A veces Me merezco un descanso. sorprende.,Někdy překvapí tohle: Zasloužím si odpočinek..,ne
duro / blando,tvrdý / měkký,2875,Ahora mismo me siento duro.,Teď se cítím tvrdý.,ne
el tratamiento,jednání,2876,En el mapa aparece el tratamiento.,Na mapě je jednání.,ne
el tratamiento,zacházení,2877,"Aquí está el tratamiento, justo delante.","Tady je zacházení, přímo před námi.",ne
el tratamiento,nakládání s kým,2878,En la caja hay el tratamiento.,V krabici je nakládání s kým.,ne
el tratamiento,oslovení,2879,Necesito el tratamiento para este trabajo.,Na tuhle práci potřebuji oslovení.,ne
el tratamiento,léčba,2880,Hoy vemos el tratamiento por primera vez.,Dnes poprvé vidíme léčba.,ne
el tuteo / tratamiento de tú,tykání,2881,En el mapa aparece el tuteo.,Na mapě je tykání.,ne
casar(se),vzít si koho,2882,Necesito casar antes de salir.,Potřebuji vzít si koho před odchodem.,ne
casar(se),vdát se,2883,Me gusta casar cuando tengo tiempo.,"Když mám čas, baví mě vdát se.",ne
casar(se),oženit se,2884,Vamos a casar un momento.,Pojďme oženit se na chvilku.,ne
enfadado / ¿Estás enfadado conmigo ?,naštvaný,2885,Ahora mismo me siento enfadado.,Teď se cítím naštvaný.,ne
enfadado / ¿Estás enfadado conmigo ?,rozlobený,2886,Este lugar parece enfadado.,Tohle místo je rozlobený.,ne
enfadado / ¿Estás enfadado conmigo ?,rozčilený / Zlobíš se na mě?,2887,Hoy el día está enfadado.,Dnes je den rozčilený.,ne
la caída / a la caída del Sol,pád,2888,En la caja hay la caída.,V krabici je pád.,ne
la caída / a la caída del Sol,pokles / při západu slunce,2889,Necesito la caída para este trabajo.,Na tuhle práci potřebuji pokles.,ne
"caer (se), 1.caigo",padat,2890,,"Intento caer mejor cada día., Snažím se padat každý den lépe.",ne
"caer (se), 1.caigo",upadnout,2891,"Quiero caer hoy, sin prisa.","Dnes chci upadnout, bez spěchu.",ne
"caer (se), 1.caigo",spadnout,2892,Necesito caer antes de salir.,Potřebuji spadnout před odchodem.,ne
"caer (se), 1.caigo",klesnout,2893,Me gusta caer cuando tengo tiempo.,"Když mám čas, baví mě klesnout.",ne
caer de la escalera,spadnout ze schodů,2894,Vamos a caer de la escalera un momento.,Pojďme spadnout ze schodů na chvilku.,ne
caer redondo,natáhnout se jak dlouhý tak široký,2895,Intento caer redondo mejor cada día.,Snažím se natáhnout se jak dlouhý tak široký každý den lépe.,ne
caer redondo,seknout sebou,2896,"Quiero caer redondo hoy, sin prisa.","Dnes chci seknout sebou, bez spěchu.",ne
redondo (mesa redonda),kulatý (kulatý stůl),2897,Hoy el día está redondo.,Dnes je den kulatý.,ne
el espejo de vestir / el espejo de mano,velké zrcadlo / zrcátko,2898,En la caja hay el espejo de vestir.,V krabici je velké zrcadlo.,ne
la disculpa / pedir disculpas,omluva,2899,Necesito la disculpa para este trabajo.,Na tuhle práci potřebuji omluva.,ne
la disculpa / pedir disculpas,ospravedlnění / omluvit se,2900,Hoy vemos la disculpa por primera vez.,Dnes poprvé vidíme ospravedlnění.,ne
la disculpa / pedir disculpas,omlouvat se,2901,En el mapa aparece la disculpa.,Na mapě je omlouvat se.,ne
pedir la palabra,požádat o slovo / přihlásit se o slovo,2902,Necesito pedir la palabra antes de salir.,Potřebuji požádat o slovo před odchodem.,ne
manejar,řídit,2903,Me gusta manejar cuando tengo tiempo.,"Když mám čas, baví mě řídit.",ne
manejar,zacházet,2904,Vamos a manejar un momento.,Pojďme zacházet na chvilku.,ne
manejar,manipulovat,2905,Intento manejar mejor cada día.,Snažím se manipulovat každý den lépe.,ne
aprender a saber manejar el ordenador,naučit se zacházet s počítačem,2906,"Quiero aprender a saber manejar el ordenador hoy, sin prisa.","Dnes chci naučit se zacházet s počítačem, bez spěchu.",ne
el pie / a pie,noha,2907,"Aquí está el pie, justo delante.","Tady je noha, přímo před námi.",ne
el pie / a pie,chodidlo / pěšky,2908,En la caja hay el pie.,V krabici je chodidlo.,ne
la culpa,chyba,2909,Necesito la culpa para este trabajo.,Na tuhle práci potřebuji chyba.,ne
la culpa,vina,2910,Hoy vemos la culpa por primera vez.,Dnes poprvé vidíme vina.,ne
la culpa,provinění,2911,En el mapa aparece la culpa.,Na mapě je provinění.,ne
Es / fue culpa mía.,Je to / byla to moje vina.,2912,Es es importante para este tema.,Je to je důležité pro tohle téma.,ne
"No es mi culpa., Yo no tengo la culpa.",Já za to nemůžu.,2913,"Sin No es mi culpa., todo cambia.",Bez tohohle se všechno mění: Já za to nemůžu..,ne
el descuido,chyba,2914,Necesito el descuido para este trabajo.,Na tuhle práci potřebuji chyba.,ne
el descuido,nepozornost,2915,Hoy vemos el descuido por primera vez.,Dnes poprvé vidíme nepozornost.,ne
empeorar,zhoršit se,2916,"Quiero empeorar hoy, sin prisa.","Dnes chci zhoršit se, bez spěchu.",ne
empeorar,změnit se k horšímu,2917,Necesito empeorar antes de salir.,Potřebuji změnit se k horšímu před odchodem.,ne
aumentar / aumentar de peso,zvětšit,2918,Me gusta aumentar cuando tengo tiempo.,"Když mám čas, baví mě zvětšit.",ne
aumentar / aumentar de peso,zvýšit / přibýt na váze,2919,Vamos a aumentar un momento.,Pojďme zvýšit na chvilku.,ne
la pobreza,chudoba,2920,Hoy vemos la pobreza por primera vez.,Dnes poprvé vidíme chudoba.,ne
la pobreza,bída,2921,En el mapa aparece la pobreza.,Na mapě je bída.,ne
la pobreza,nouze,2922,"Aquí está la pobreza, justo delante.","Tady je nouze, přímo před námi.",ne
el círculo,kruh,2923,En la caja hay el círculo.,V krabici je kruh.,ne
el círculo,kružnice,2924,Necesito el círculo para este trabajo.,Na tuhle práci potřebuji kružnice.,ne
vicioso / estar en un círculo vicioso,neřestný / být v začarovaném kruhu,2925,Ahora mismo me siento vicioso.,Teď se cítím neřestný.,ne
el pecado,hřích,2926,En el mapa aparece el pecado.,Na mapě je hřích.,ne
pecado hereditario / mortal,dědičný / smrtelný hřích,2927,pecado hereditario es importante para este tema.,dědičný je důležité pro tohle téma.,ne
el vaso / vaso sanguíneo (linfático),sklenice,2928,En la caja hay el vaso.,V krabici je sklenice.,ne
el vaso / vaso sanguíneo (linfático),céva / krevní (mízní céva),2929,Necesito el vaso para este trabajo.,Na tuhle práci potřebuji céva.,ne
gafas de culo de vaso,popelníky brýle,2930,Ahora mismo pienso en gafas de culo de vaso.,Teď myslím na tohle: popelníky brýle.,ne
tormenta en un vaso de agua,bouře ve sklenici vody,2931,Hoy hablamos de tormenta en un vaso de agua un momento.,Dnes chvíli mluvíme o tomhle: bouře ve sklenici vody.,ne
"la tempestad, la tormenta / el temporal",bouře,2932,,"Aquí está la tempestad, justo delante., Tady je bouře, přímo před námi.",ne
"la tempestad, la tormenta / el temporal",bouřka / bouřka,2933,En la caja hay la tempestad.,V krabici je bouřka.,ne
"la tempestad, la tormenta / el temporal",dočasný,2934,Necesito la tempestad para este trabajo.,Na tuhle práci potřebuji dočasný.,ne
disfrutar de / con,užívat si čeho,2935,Intento disfrutar de mejor cada día.,Snažím se užívat si čeho každý den lépe.,ne
disfrutar de / con,těšit se čemu,2936,"Quiero disfrutar de hoy, sin prisa.","Dnes chci těšit se čemu, bez spěchu.",ne
entender / Ya entiendo.,rozumět,2937,Necesito entender antes de salir.,Potřebuji rozumět před odchodem.,ne
entender / Ya entiendo.,chápat,2938,Me gusta entender cuando tengo tiempo.,"Když mám čas, baví mě chápat.",ne
entender / Ya entiendo.,soudit / Už chápu.,2939,Vamos a entender un momento.,Pojďme soudit na chvilku.,ne
a mi mejor saber y entender,podle mého nejlepšího vědomí a svědomí,2940,Intento a mi mejor saber y entender mejor cada día.,Snažím se podle mého nejlepšího vědomí a svědomí každý den lépe.,ne
asar,péct,2941,"Quiero asar hoy, sin prisa.","Dnes chci péct, bez spěchu.",ne
asar,upéct,2942,Necesito asar antes de salir.,Potřebuji upéct před odchodem.,ne
la faz,líce,2943,En la caja hay la faz.,V krabici je líce.,ne
la faz,tvář,2944,Necesito la faz para este trabajo.,Na tuhle práci potřebuji tvář.,ne
la faz,zevnějšek,2945,Hoy vemos la faz por primera vez.,Dnes poprvé vidíme zevnějšek.,ne
borrar,smazat,2946,"Quiero borrar hoy, sin prisa.","Dnes chci smazat, bez spěchu.",ne
borrar,vymazat,2947,Necesito borrar antes de salir.,Potřebuji vymazat před odchodem.,ne
borrar,vygumovat,2948,Me gusta borrar cuando tengo tiempo.,"Když mám čas, baví mě vygumovat.",ne
borrar de la faz de la tierra,sprovodit ze světa,2949,Vamos a borrar de la faz de la tierra un momento.,Pojďme sprovodit ze světa na chvilku.,ne
el equipaje / ¿Cuánto equipaje lleva?,zavazadlo / Kolik máte zavazadel?,2950,Hoy vemos el equipaje por primera vez.,Dnes poprvé vidíme zavazadlo.,ne
la salchicha,klobása,2951,En el mapa aparece la salchicha.,Na mapě je klobása.,ne
la salchicha,párek,2952,"Aquí está la salchicha, justo delante.","Tady je párek, přímo před námi.",ne
la salchicha,vuřt,2953,En la caja hay la salchicha.,V krabici je vuřt.,ne
la salchicha,jezevčík,2954,Necesito la salchicha para este trabajo.,Na tuhle práci potřebuji jezevčík.,ne
el cólera / la cólera / montar en cólera,cholera / vztek,2955,Hoy vemos el cólera por primera vez.,Dnes poprvé vidíme cholera.,ne
el cólera / la cólera / montar en cólera,hněv / rozzuřit se,2956,En el mapa aparece el cólera.,Na mapě je hněv.,ne
el cólera / la cólera / montar en cólera,rozlítit se,2957,"Aquí está el cólera, justo delante.","Tady je rozlítit se, přímo před námi.",ne
el enojo / el enfado,hněv,2958,En la caja hay el enojo.,V krabici je hněv.,ne
el enojo / el enfado,zlost,2959,Necesito el enojo para este trabajo.,Na tuhle práci potřebuji zlost.,ne
"lobo, loba",vlk,2960,Ahora mismo me siento lobo.,Teď se cítím vlk.,ne
"lobo, loba",vlčice,2961,Este lugar parece lobo.,Tohle místo je vlčice.,ne
El hombre es un lobo para el hombre.,Člověk člověku vlkem.,2962,"Aquí está El hombre es un lobo para el hombre., justo delante.","Tady je Člověk člověku vlkem., přímo před námi.",ne
lobo con piel de cordero,vlk v rouše beránčím,2963,"Sin lobo con piel de cordero, todo cambia.",Bez tohohle se všechno mění: vlk v rouše beránčím.,ne
"cordero, -ra",jehně,2964,El paisaje es cordero.,Krajina je jehně.,ne
"cordero, -ra",beránek,2965,Ahora mismo me siento cordero.,Teď se cítím beránek.,ne
mirar a algn con ojos de cordero,dělat psí oči na koho,2966,"Quiero mirar a algn con ojos de cordero hoy, sin prisa.","Dnes chci dělat psí oči na koho, bez spěchu.",ne
lobo marino,mořský vlk (lachtan),2967,lobo marino es importante para este tema.,mořský vlk je důležité pro tohle téma.,ne
el comportamiento,chování,2968,En la caja hay el comportamiento.,V krabici je chování.,ne
el comportamiento,jednání,2969,Necesito el comportamiento para este trabajo.,Na tuhle práci potřebuji jednání.,ne
el comportamiento,počínání,2970,Hoy vemos el comportamiento por primera vez.,Dnes poprvé vidíme počínání.,ne
comportarse,chovat se,2971,"Quiero comportarse hoy, sin prisa.","Dnes chci chovat se, bez spěchu.",ne
comportar,nést,2972,Necesito comportar antes de salir.,Potřebuji nést před odchodem.,ne
comportar,přinášet s sebou,2973,Me gusta comportar cuando tengo tiempo.,"Když mám čas, baví mě přinášet s sebou.",ne
comportar,znamenat,2974,Vamos a comportar un momento.,Pojďme znamenat na chvilku.,ne
serio,seriózní,2975,Ahora mismo me siento serio.,Teď se cítím seriózní.,ne
serio,vážný (člověk),2976,Este lugar parece serio.,Tohle místo je vážný.,ne
el mamífero,savec,2977,"Aquí está el mamífero, justo delante.","Tady je savec, přímo před námi.",ne
la ampliación (de la EU),rozšíření,2978,En la caja hay la ampliación.,V krabici je rozšíření.,ne
la ampliación (de la EU),zvětšení,2979,Necesito la ampliación para este trabajo.,Na tuhle práci potřebuji zvětšení.,ne
la ampliación (de la EU),zvětšenina (EU),2980,Hoy vemos la ampliación por primera vez.,Dnes poprvé vidíme zvětšenina.,ne
obtener,získat,2981,"Quiero obtener hoy, sin prisa.","Dnes chci získat, bez spěchu.",ne
obtener,obdržet,2982,Necesito obtener antes de salir.,Potřebuji obdržet před odchodem.,ne
obtener,dostat,2983,Me gusta obtener cuando tengo tiempo.,"Když mám čas, baví mě dostat.",ne
la aprobación / la desaprobación,povolení,2984,Necesito la aprobación para este trabajo.,Na tuhle práci potřebuji povolení.,ne
la aprobación / la desaprobación,schválení,2985,Hoy vemos la aprobación por primera vez.,Dnes poprvé vidíme schválení.,ne
la aprobación / la desaprobación,souhlas / nesouhlas,2986,En el mapa aparece la aprobación.,Na mapě je souhlas.,ne
la demanda,poptávka,2987,"Aquí está la demanda, justo delante.","Tady je poptávka, přímo před námi.",ne
la demanda,žádost,2988,En la caja hay la demanda.,V krabici je žádost.,ne
la demanda,žaloba,2989,Necesito la demanda para este trabajo.,Na tuhle práci potřebuji žaloba.,ne
ley de la oferta y de la demanda,zákon nabídky a poptávky,2990,Ahora mismo pienso en ley de la oferta y de la demanda.,Teď myslím na tohle: zákon nabídky a poptávky.,ne
demanda de divorcio,žádost o rozvod,2991,Hoy hablamos de demanda de divorcio un momento.,Dnes chvíli mluvíme o tomhle: žádost o rozvod.,ne
presentar demanda contra algn,podat žalobu na koho,2992,Necesito presentar demanda contra algn antes de salir.,Potřebuji podat žalobu na koho před odchodem.,ne
la multa (de tráfico),pokuta,2993,En la caja hay la multa.,V krabici je pokuta.,ne
la multa (de tráfico),penále (za dopravní přestupek),2994,Necesito la multa para este trabajo.,Na tuhle práci potřebuji penále.,ne
el pago,platba,2995,Hoy vemos el pago por primera vez.,Dnes poprvé vidíme platba.,ne
el pago,úhrada,2996,En el mapa aparece el pago.,Na mapě je úhrada.,ne
la cebolla,cibule,2997,"Aquí está la cebolla, justo delante.","Tady je cibule, přímo před námi.",ne
el pepino agridulce,sladkokyselá okurka,2998,En la caja hay el pepino agridulce.,V krabici je sladkokyselá okurka.,ne
"ácido, agrio",kyselý,2999,,"El paisaje es ácido., Krajina je kyselý.",ne
amargo,hořký,3000,Ahora mismo me siento amargo.,Teď se cítím hořký.,ne
amargo,zatrpklý,3001,Este lugar parece amargo.,Tohle místo je zatrpklý.,ne
picante,ostrý (chuťově),3002,Hoy el día está picante.,Dnes je den ostrý.,ne
el beicon,uzená slanina,3003,En la caja hay el beicon.,V krabici je uzená slanina.,ne
la carne de vaca / de res,hovězí maso,3004,Necesito la carne de vaca para este trabajo.,Na tuhle práci potřebuji hovězí maso.,ne
la lonja,plátek masa,3005,Hoy vemos la lonja por primera vez.,Dnes poprvé vidíme plátek masa.,ne
la lonja,řízek,3006,En el mapa aparece la lonja.,Na mapě je řízek.,ne
la loncha de queso / jamón,plátek sýra / šunky (slabý),3007,"Aquí está la loncha de queso, justo delante.","Tady je plátek sýra, přímo před námi.",ne
procedimiento laboral,pracovní postup,3008,"Sin procedimiento laboral, todo cambia.",Bez tohohle se všechno mění: pracovní postup.,ne
cortar,pořezat,3009,Vamos a cortar un momento.,Pojďme pořezat na chvilku.,ne
cortar,rozřezat,3010,Intento cortar mejor cada día.,Snažím se rozřezat každý den lépe.,ne
cortar,nakrájet,3011,"Quiero cortar hoy, sin prisa.","Dnes chci nakrájet, bez spěchu.",ne
cortar,nastříhat,3012,Necesito cortar antes de salir.,Potřebuji nastříhat před odchodem.,ne
cortar,přestat,3013,Me gusta cortar cuando tengo tiempo.,"Když mám čas, baví mě přestat.",ne
la pieza,kus,3014,Necesito la pieza para este trabajo.,Na tuhle práci potřebuji kus.,ne
la pieza,kousek,3015,Hoy vemos la pieza por primera vez.,Dnes poprvé vidíme kousek.,ne
la pieza,část,3016,En el mapa aparece la pieza.,Na mapě je část.,ne
macerar,naklepat maso,3017,Necesito macerar antes de salir.,Potřebuji naklepat maso před odchodem.,ne
causar (ocasionar) / causado por,způsobit,3018,Me gusta causar cuando tengo tiempo.,"Když mám čas, baví mě způsobit.",ne
causar (ocasionar) / causado por,zapříčinit,3019,Vamos a causar un momento.,Pojďme zapříčinit na chvilku.,ne
causar (ocasionar) / causado por,vyvolat / způsobený kým čím,3020,Intento causar mejor cada día.,Snažím se vyvolat každý den lépe.,ne
"el agujero (negro, de ozono, en un calcetín)",díra,3021,En el mapa aparece el agujero (negro.,Na mapě je díra.,ne
"el agujero (negro, de ozono, en un calcetín)",dírka,3022,,"Aquí está el agujero (negro, justo delante., Tady je dírka, přímo před námi.",ne
"el agujero (negro, de ozono, en un calcetín)",otvor (černá,3023,En la caja hay el agujero (negro.,V krabici je otvor (černá.,ne
"el agujero (negro, de ozono, en un calcetín)",ozónová,3024,Necesito el agujero (negro para este trabajo.,Na tuhle práci potřebuji ozónová.,ne
"el agujero (negro, de ozono, en un calcetín)",na ponožce),3025,Hoy vemos el agujero (negro por primera vez.,Dnes poprvé vidíme na ponožce).,ne
el calcetín,ponožka,3026,En el mapa aparece el calcetín.,Na mapě je ponožka.,ne
untar,natřít,3027,Necesito untar antes de salir.,Potřebuji natřít před odchodem.,ne
untar,potřít,3028,Me gusta untar cuando tengo tiempo.,"Když mám čas, baví mě potřít.",ne
untar,namazat,3029,Vamos a untar un momento.,Pojďme namazat na chvilku.,ne
la rebanada de pan,krajíc chleba,3030,Hoy vemos la rebanada de pan por primera vez.,Dnes poprvé vidíme krajíc chleba.,ne
la forma,tvar,3031,En el mapa aparece la forma.,Na mapě je tvar.,ne
la forma,forma,3032,"Aquí está la forma, justo delante.","Tady je forma, přímo před námi.",ne
enrollar,svinout,3033,Me gusta enrollar cuando tengo tiempo.,"Když mám čas, baví mě svinout.",ne
enrollar,stočit,3034,Vamos a enrollar un momento.,Pojďme stočit na chvilku.,ne
enrollar,smotat,3035,Intento enrollar mejor cada día.,Snažím se smotat každý den lépe.,ne
(el) relleno,náplň,3036,Este lugar parece relleno.,Tohle místo je náplň.,ne
(el) relleno,vycpávka,3037,Hoy el día está relleno.,Dnes je den vycpávka.,ne
(el) relleno,nádivka,3038,Su voz suena relleno.,Jeho/její hlas zní nádivka.,ne
(el) relleno,plněný,3039,El paisaje es relleno.,Krajina je plněný.,ne
(el) relleno,nadívaný,3040,Ahora mismo me siento relleno.,Teď se cítím nadívaný.,ne
el rollo,závitek,3041,En el mapa aparece el rollo.,Na mapě je závitek.,ne
el rollo,cívka,3042,"Aquí está el rollo, justo delante.","Tady je cívka, přímo před námi.",ne
el rollo,role,3043,En la caja hay el rollo.,V krabici je role.,ne
el rollo,váleček,3044,Necesito el rollo para este trabajo.,Na tuhle práci potřebuji váleček.,ne
pelar / pelado,oloupat / oloupaný,3045,Intento pelar mejor cada día.,Snažím se oloupat každý den lépe.,ne
pelar / pelado,holý,3046,"Quiero pelar hoy, sin prisa.","Dnes chci holý, bez spěchu.",ne
pelar / pelado,oškubaný,3047,Necesito pelar antes de salir.,Potřebuji oškubaný před odchodem.,ne
la olla,kastról,3048,En la caja hay la olla.,V krabici je kastról.,ne
