ES,CZ,Order,Sentence,SentenceT,L
el repente / de repente,najednou,2354,De repente practico hoy la palabra «el repente / de repente».,"Poslouchej, dnes procvičuji slovo „najednou“.",ne
el repente / de repente,z čista jasna,2355,"Vale, practico hoy la palabra «el repente / de repente».",Dnes ráno používám slovo „z čista jasna“ ve větě.,ne
el deber,povinnost,2356,"Claro, recuerdo bien la palabra «el deber».",Někdy slyším slovo „povinnost“ ve třídě.,ne
el deber,domací úloha,2357,Anoche escucho la palabra «el deber» en clase.,"Poslouchej, slyším slovo „domací úloha“ ve třídě.",ne
cumplir con su deber / cumplir con la esperanza,splnit svou povinnost / splnit očekávání,2358,Ahora practico hoy la palabra «cumplir con su deber / cumplir con la esperanza».,"Dobře, píšu „splnit svou povinnost / splnit očekávání“ do sešitu.",ne
cumplir,plnit,2359,"Oye, escucho la palabra «cumplir» en clase.",Najednou řeknu „plnit“ a všichni rozumí.,ne
cumplir,splnit,2360,"Mira, escribo «cumplir» en mi cuaderno.",No řeknu „splnit“ a všichni rozumí.,ne
cumplir,dodržet,2361,Casi nunca recuerdo bien la palabra «cumplir».,"Jasně, slyším slovo „dodržet“ ve třídě.",ne
cumplir,dostát,2362,"Dime, practico hoy la palabra «cumplir».",Někdy si dobře pamatuji slovo „dostát“.,ne
cumplir,dovršit,2363,Por fin escribo «cumplir» en mi cuaderno.,Někdy píšu „dovršit“ do sešitu.,ne
dentro de,uvnitř místně,2364,"Mira, escucho la palabra «dentro de» en clase.",No píšu „uvnitř místně“ do sešitu.,ne
dentro de,za časově,2365,Esta mañana digo «dentro de» y todos entienden.,Včera večer si dobře pamatuji slovo „za časově“.,ne
dentro de poco / dentro de nada,zakrátko,2366,Por fin practico hoy la palabra «dentro de poco / dentro de nada».,Dnes dnes procvičuji slovo „zakrátko“.,ne
dentro de poco / dentro de nada,brzy / ve chvilce,2367,De repente escribo «dentro de poco / dentro de nada» en mi cuaderno.,Skoro nikdy dnes procvičuji slovo „brzy / ve chvilce“.,ne
dentro de poco / dentro de nada,v okamžiku,2368,"Vale, uso la palabra «dentro de poco / dentro de nada» en una frase.","Tak, řeknu „v okamžiku“ a všichni rozumí.",ne
dentro de quince días,za čtrnáct dní,2369,Casi nunca escucho la palabra «dentro de quince días» en clase.,Najednou si dobře pamatuji slovo „za čtrnáct dní“.,ne
El tren no sale hasta dentro de dos horas.,Vlak odjíždí až za dvě hodiny.,2370,Esta mañana practico hoy la palabra «El tren no sale hasta dentro de dos horas.».,"Řekni, řeknu „Vlak odjíždí až za dvě hodiny.“ a všichni rozumí.",ne
durar,trvat,2371,Anoche recuerdo bien la palabra «durar».,"Dobře, používám slovo „trvat“ ve větě.",ne
encontrarse,nacházet se,2372,Casi nunca escribo «encontrarse» en mi cuaderno.,"Dobře, píšu „nacházet se“ do sešitu.",ne
encontrarse,setkat se,2373,"Sabes, digo «encontrarse» y todos entienden.",Skoro nikdy slyším slovo „setkat se“ ve třídě.,ne
escondido,schovaný,2374,"Imagínate, recuerdo bien la palabra «escondido».",Vážně dnes procvičuji slovo „schovaný“.,ne
escondido,ukrytý,2375,"Oye, recuerdo bien la palabra «escondido».","Hele, slyším slovo „ukrytý“ ve třídě.",ne
escondido,odlehlý,2376,"Sabes, uso la palabra «escondido» en una frase.",No používám slovo „odlehlý“ ve větě.,ne
el esfuerzo,námaha,2377,Esta mañana escucho la palabra «el esfuerzo» en clase.,Dnes slyším slovo „námaha“ ve třídě.,ne
el esfuerzo,úsilí,2378,"Bueno, escucho la palabra «el esfuerzo» en clase.",Vážně si dobře pamatuji slovo „úsilí“.,ne
el esfuerzo,zátěž,2379,"Dime, practico hoy la palabra «el esfuerzo».","Jasně, si dobře pamatuji slovo „zátěž“.",ne
fijar / fijarse en,stanovit,2380,Esta mañana practico hoy la palabra «fijar / fijarse en».,"Tak, slyším slovo „stanovit“ ve třídě.",ne
fijar / fijarse en,připevnit,2381,Ahora escucho la palabra «fijar / fijarse en» en clase.,Vždy slyším slovo „připevnit“ ve třídě.,ne
fijar / fijarse en,upevnit / všimnout si čeho,2382,"Sabes, practico hoy la palabra «fijar / fijarse en».",Konečně dnes procvičuji slovo „upevnit / všimnout si čeho“.,ne
las gafas (de leer),brýle (na blízko,2383,Hoy digo «las gafas (de leer)» y todos entienden.,No píšu „brýle (na blízko“ do sešitu.,ne
las gafas (de leer),na čtení),2384,Entonces practico hoy la palabra «las gafas (de leer)».,Skoro nikdy řeknu „na čtení)“ a všichni rozumí.,ne
la hamburguesa,hamburger,2385,De repente digo «la hamburguesa» y todos entienden.,Vážně si dobře pamatuji slovo „hamburger“.,ne
la inscripción,nápis,2386,"Mira, recuerdo bien la palabra «la inscripción».",Někdy píšu „nápis“ do sešitu.,ne
la instrucción,návod,2387,"Bueno, practico hoy la palabra «la instrucción».",Najednou si dobře pamatuji slovo „návod“.,ne
la instrucción,instrukce,2388,"Mira, recuerdo bien la palabra «la instrucción».","Řekni, píšu „instrukce“ do sešitu.",ne
la instrucción,pokyn,2389,Entonces practico hoy la palabra «la instrucción».,No slyším slovo „pokyn“ ve třídě.,ne
maquillarse,namalovat se,2390,Siempre practico hoy la palabra «maquillarse».,Dnes dnes procvičuji slovo „namalovat se“.,ne
maquillarse,nalíčit se,2391,Entonces uso la palabra «maquillarse» en una frase.,"Hele, dnes procvičuji slovo „nalíčit se“.",ne
lindo,hezký,2392,En serio escribo «lindo» en mi cuaderno.,Včera večer si dobře pamatuji slovo „hezký“.,ne
lindo,pěkný,2393,"Vale, digo «lindo» y todos entienden.",No dnes procvičuji slovo „pěkný“.,ne
lindo,krásný,2394,"Oye, escribo «lindo» en mi cuaderno.",Vážně slyším slovo „krásný“ ve třídě.,ne
lindo,pěkně,2395,Siempre digo «lindo» y todos entienden.,Včera večer si dobře pamatuji slovo „pěkně“.,ne
lindo,krásně,2396,Por fin digo «lindo» y todos entienden.,"Řekni, používám slovo „krásně“ ve větě.",ne
tener lindo fin de semana,mít hezký víkend,2397,"Oye, recuerdo bien la palabra «tener lindo fin de semana».",Teď používám slovo „mít hezký víkend“ ve větě.,ne
el mensaje,zpráva,2398,"Imagínate, escribo «el mensaje» en mi cuaderno.","Poslouchej, řeknu „zpráva“ a všichni rozumí.",ne
el mensaje,vzkaz,2399,"Oye, practico hoy la palabra «el mensaje».",Vážně dnes procvičuji slovo „vzkaz“.,ne
el mensaje,oznámení,2400,A veces escucho la palabra «el mensaje» en clase.,"Dobře, si dobře pamatuji slovo „oznámení“.",ne
el mensaje,poselství,2401,Ahora digo «el mensaje» y todos entienden.,Někdy řeknu „poselství“ a všichni rozumí.,ne
el océano Pacífico,tichý oceán,2402,De repente practico hoy la palabra «el océano Pacífico».,Takže řeknu „tichý oceán“ a všichni rozumí.,ne
optimista,optimistický,2403,Entonces recuerdo bien la palabra «optimista».,"Víš, si dobře pamatuji slovo „optimistický“.",ne
optimista,optimista,2404,Entonces digo «optimista» y todos entienden.,Skoro nikdy si dobře pamatuji slovo „optimista“.,ne
la pantalla,obrazovka,2405,Hoy recuerdo bien la palabra «la pantalla».,Najednou řeknu „obrazovka“ a všichni rozumí.,ne
la pantalla,monitor,2406,Esta mañana escribo «la pantalla» en mi cuaderno.,"Řekni, slyším slovo „monitor“ ve třídě.",ne
el papel (higiénico),(toaletní) papír / role (v něčem,2407,"Mira, practico hoy la palabra «el papel (higiénico)».","Dobře, si dobře pamatuji slovo „(toaletní) papír / role (v něčem“.",ne
el papel (higiénico),politice i divadelní),2408,Casi nunca escucho la palabra «el papel (higiénico)» en clase.,Včera večer píšu „politice i divadelní)“ do sešitu.,ne
pirata,prát,2409,Hoy escucho la palabra «pirata» en clase.,No slyším slovo „prát“ ve třídě.,ne
pirata,pirátský,2410,Pues recuerdo bien la palabra «pirata».,Vážně řeknu „pirátský“ a všichni rozumí.,ne
pirata,nelegální,2411,"Bueno, practico hoy la palabra «pirata».",Teď dnes procvičuji slovo „nelegální“.,ne
el piso / un piso compartido,patro,2412,Casi nunca practico hoy la palabra «el piso / un piso compartido».,"Hele, dnes procvičuji slovo „patro“.",ne
el piso / un piso compartido,poschodí,2413,Pues recuerdo bien la palabra «el piso / un piso compartido».,"Dobře, řeknu „poschodí“ a všichni rozumí.",ne
el piso / un piso compartido,byt / společný byt,2414,Ahora uso la palabra «el piso / un piso compartido» en una frase.,"Hele, používám slovo „byt / společný byt“ ve větě.",ne
rápido / lo más rápido posible,rychlý / co nejrychleji,2415,Hoy practico hoy la palabra «rápido / lo más rápido posible».,Včera večer si dobře pamatuji slovo „rychlý / co nejrychleji“.,ne
la respuesta,odpověď,2416,"Mira, escribo «la respuesta» en mi cuaderno.",Dnes ráno dnes procvičuji slovo „odpověď“.,ne
sacar,vytáhnout,2417,Entonces practico hoy la palabra «sacar».,No slyším slovo „vytáhnout“ ve třídě.,ne
sacar,vybrat,2418,Casi nunca digo «sacar» y todos entienden.,Najednou používám slovo „vybrat“ ve větě.,ne
sacar,vyndat,2419,Por fin practico hoy la palabra «sacar».,"Představ si, píšu „vyndat“ do sešitu.",ne
sacar,vyzvednout (peníze),2420,Pues recuerdo bien la palabra «sacar».,Teď píšu „vyzvednout (peníze)“ do sešitu.,ne
"sentar (se) a, 1.siento",sendout si,2421,"Hoy uso la palabra «sentar (se) a, 1.siento» en una frase.",Takže píšu „sendout si“ do sešitu.,ne
"sentar (se) a, 1.siento",posadit se k,2422,"Hoy escribo «sentar (se) a, 1.siento» en mi cuaderno.",Dnes slyším slovo „posadit se k“ ve třídě.,ne
siguiente,následující,2423,"Oye, recuerdo bien la palabra «siguiente».","Představ si, píšu „následující“ do sešitu.",ne
siguiente,příští,2424,A veces escucho la palabra «siguiente» en clase.,Konečně řeknu „příští“ a všichni rozumí.,ne
siguiente,další,2425,Casi nunca digo «siguiente» y todos entienden.,Vážně dnes procvičuji slovo „další“.,ne
"soler, 1.suelo",mít ve zvyku,2426,"Por fin practico hoy la palabra «soler, 1.suelo».","Hele, dnes procvičuji slovo „mít ve zvyku“.",ne
"soler, 1.suelo",obvykle (+infinitiv),2427,"A veces digo «soler, 1.suelo» y todos entienden.","Poslouchej, slyším slovo „obvykle (+infinitiv)“ ve třídě.",ne
"Después de levantarse, suele ir a correr.",Když vstane,2428,"En serio practico hoy la palabra «Después de levantarse, suele ir a correr.».","Představ si, dnes procvičuji slovo „Když vstane“.",ne
"Después de levantarse, suele ir a correr.",chodívá běhat.,2429,"Hoy escucho la palabra «Después de levantarse, suele ir a correr.» en clase.",Konečně dnes procvičuji slovo „chodívá běhat.“.,ne
Suelo limpiarme los dientes después del desayuno.,Mívám ve zvyku si čistit zuby po snídani.,2430,"Dime, uso la palabra «Suelo limpiarme los dientes después del desayuno.» en una frase.",Někdy slyším slovo „Mívám ve zvyku si čistit zuby po snídani.“ ve třídě.,ne
la sorpresa,překvapení,2431,Anoche uso la palabra «la sorpresa» en una frase.,"Jasně, řeknu „překvapení“ a všichni rozumí.",ne
el tiburón,žralok,2432,A veces digo «el tiburón» y todos entienden.,"Řekni, si dobře pamatuji slovo „žralok“.",ne
el tesoro,poklad,2433,Por fin recuerdo bien la palabra «el tesoro».,No slyším slovo „poklad“ ve třídě.,ne
el tesoro,státní pokladna,2434,"Imagínate, practico hoy la palabra «el tesoro».","Jasně, slyším slovo „státní pokladna“ ve třídě.",ne
obligación del Tesoro,státní obligace,2435,Por fin escucho la palabra «obligación del Tesoro» en clase.,"Hele, si dobře pamatuji slovo „státní obligace“.",ne
travieso,zlobivý,2436,Siempre uso la palabra «travieso» en una frase.,Včera večer používám slovo „zlobivý“ ve větě.,ne
travieso,nezbedný,2437,Siempre recuerdo bien la palabra «travieso».,"Poslouchej, používám slovo „nezbedný“ ve větě.",ne
travieso,rozpustilý,2438,De repente practico hoy la palabra «travieso».,Takže dnes procvičuji slovo „rozpustilý“.,ne
"vestir (se), 1.visto",obléknout (se),2439,"Claro, digo «vestir (se), 1.visto» y todos entienden.",Dnes ráno řeknu „obléknout (se)“ a všichni rozumí.,ne
suceder,následovat po čem,2440,En serio escucho la palabra «suceder» en clase.,"Dobře, si dobře pamatuji slovo „následovat po čem“.",ne
suceder,stát se,2441,En serio recuerdo bien la palabra «suceder».,"Víš, slyším slovo „stát se“ ve třídě.",ne
suceder,přihodit se,2442,Entonces escucho la palabra «suceder» en clase.,Najednou dnes procvičuji slovo „přihodit se“.,ne
exceder,přesáhnout,2443,Pues digo «exceder» y todos entienden.,Vážně slyším slovo „přesáhnout“ ve třídě.,ne
exceder,převýšit,2444,"Bueno, escribo «exceder» en mi cuaderno.","Představ si, používám slovo „převýšit“ ve větě.",ne
besar,líbat,2445,"Claro, escucho la palabra «besar» en clase.","Představ si, slyším slovo „líbat“ ve třídě.",ne
besar,políbit,2446,Ahora escribo «besar» en mi cuaderno.,Takže řeknu „políbit“ a všichni rozumí.,ne
morder (1.muerdo),kousat,2447,Esta mañana uso la palabra «morder (1.muerdo)» en una frase.,"Řekni, píšu „kousat“ do sešitu.",ne
morder (1.muerdo),pokousat,2448,A veces escribo «morder (1.muerdo)» en mi cuaderno.,"Tak, píšu „pokousat“ do sešitu.",ne
morder (1.muerdo),hryzat,2449,Siempre uso la palabra «morder (1.muerdo)» en una frase.,"Řekni, dnes procvičuji slovo „hryzat“.",ne
morderse las uñas,kousat si nehty,2450,"Oye, digo «morderse las uñas» y todos entienden.",Vždy používám slovo „kousat si nehty“ ve větě.,ne
la pierna,noha,2451,Casi nunca recuerdo bien la palabra «la pierna».,Někdy si dobře pamatuji slovo „noha“.,ne
la pierna,nohavice,2452,"Sabes, escucho la palabra «la pierna» en clase.","Řekni, používám slovo „nohavice“ ve větě.",ne
la pierna,kýta,2453,Esta mañana escribo «la pierna» en mi cuaderno.,"Hele, slyším slovo „kýta“ ve třídě.",ne
la pierna,stehno (krůty),2454,"Claro, practico hoy la palabra «la pierna».",No dnes procvičuji slovo „stehno (krůty)“.,ne
sufrir,trpět,2455,"Imagínate, recuerdo bien la palabra «sufrir».",Dnes ráno používám slovo „trpět“ ve větě.,ne
sufrir,utrpět,2456,Entonces uso la palabra «sufrir» en una frase.,Takže si dobře pamatuji slovo „utrpět“.,ne
"perder, 1.pierdo",ztratit,2457,"Dime, recuerdo bien la palabra «perder, 1.pierdo».",Někdy si dobře pamatuji slovo „ztratit“.,ne
perder la esperanza / la conciencia,ztratit naději / vědomí,2458,"Oye, practico hoy la palabra «perder la esperanza / la conciencia».",Někdy píšu „ztratit naději / vědomí“ do sešitu.,ne
la longitud / la latitud,délka (i zeměpisná) / šířka (i zeměpisná),2459,Esta mañana escucho la palabra «la longitud / la latitud» en clase.,"Jasně, si dobře pamatuji slovo „délka (i zeměpisná) / šířka (i zeměpisná)“.",ne
agredir,napadnout,2460,Anoche practico hoy la palabra «agredir».,Najednou dnes procvičuji slovo „napadnout“.,ne
agredir,přepadnout,2461,Entonces uso la palabra «agredir» en una frase.,"Představ si, dnes procvičuji slovo „přepadnout“.",ne
el ordenador,počítač,2462,De repente escribo «el ordenador» en mi cuaderno.,Někdy píšu „počítač“ do sešitu.,ne
el cole (el colegio = základní škola),škola,2463,"Oye, escucho la palabra «el cole (el colegio = základní škola)» en clase.",Vážně slyším slovo „škola“ ve třídě.,ne
el cole (el colegio = základní škola),základka,2464,"Bueno, uso la palabra «el cole (el colegio = základní škola)» en una frase.",Skoro nikdy si dobře pamatuji slovo „základka“.,ne
el cole (el colegio = základní škola),gympl,2465,Esta mañana escribo «el cole (el colegio = základní škola)» en mi cuaderno.,Takže si dobře pamatuji slovo „gympl“.,ne
sin embargo / aún así / a pesar de,nicméně,2466,"Dime, escucho la palabra «sin embargo / aún así / a pesar de» en clase.","Představ si, píšu „nicméně“ do sešitu.",ne
sin embargo / aún así / a pesar de,přesto,2467,Siempre practico hoy la palabra «sin embargo / aún así / a pesar de».,Včera večer píšu „přesto“ do sešitu.,ne
sin embargo / aún así / a pesar de,přece jen,2468,"Claro, uso la palabra «sin embargo / aún así / a pesar de» en una frase.","Tak, dnes procvičuji slovo „přece jen“.",ne
sin embargo / aún así / a pesar de,avšak,2469,"Sabes, digo «sin embargo / aún así / a pesar de» y todos entienden.",Dnes ráno dnes procvičuji slovo „avšak“.,ne
el pesar / pesaje,lítost,2470,"Sabes, digo «el pesar / pesaje» y todos entienden.","Dobře, píšu „lítost“ do sešitu.",ne
el pesar / pesaje,zármutek,2471,"Mira, practico hoy la palabra «el pesar / pesaje».","Dobře, si dobře pamatuji slovo „zármutek“.",ne
el pesar / pesaje,hoře / vážení,2472,Siempre digo «el pesar / pesaje» y todos entienden.,Takže slyším slovo „hoře / vážení“ ve třídě.,ne
pesar,být těžký,2473,Entonces digo «pesar» y todos entienden.,Najednou píšu „být těžký“ do sešitu.,ne
pesar,hodně vážit,2474,"Sabes, practico hoy la palabra «pesar».",Takže dnes procvičuji slovo „hodně vážit“.,ne
pesar,bolet,2475,Por fin escribo «pesar» en mi cuaderno.,Skoro nikdy dnes procvičuji slovo „bolet“.,ne
pesar,uvažovat,2476,Esta mañana escucho la palabra «pesar» en clase.,Konečně slyším slovo „uvažovat“ ve třídě.,ne
pesar,rozmýšlet si,2477,Anoche practico hoy la palabra «pesar».,"Představ si, slyším slovo „rozmýšlet si“ ve třídě.",ne
espero que te encuentres muy bien,doufám,2478,"Oye, escucho la palabra «espero que te encuentres muy bien» en clase.","Hele, píšu „doufám“ do sešitu.",ne
espero que te encuentres muy bien,že se máš dobře / jsi ok,2479,"Claro, practico hoy la palabra «espero que te encuentres muy bien».",Dnes ráno dnes procvičuji slovo „že se máš dobře / jsi ok“.,ne
conmigo,se mnou,2480,"Sabes, recuerdo bien la palabra «conmigo».","Představ si, řeknu „se mnou“ a všichni rozumí.",ne
el atún,tuňák,2481,Hoy recuerdo bien la palabra «el atún».,"Řekni, píšu „tuňák“ do sešitu.",ne
el pocillo,šálek,2482,"Bueno, escribo «el pocillo» en mi cuaderno.",Konečně používám slovo „šálek“ ve větě.,ne
hornear,péct,2483,Pues escucho la palabra «hornear» en clase.,Teď používám slovo „péct“ ve větě.,ne
hornear,upéct,2484,Por fin escucho la palabra «hornear» en clase.,"Víš, používám slovo „upéct“ ve větě.",ne
hornear,dát do trouby,2485,Hoy recuerdo bien la palabra «hornear».,"Dobře, dnes procvičuji slovo „dát do trouby“.",ne
mezclar,smíchat,2486,"Mira, escribo «mezclar» en mi cuaderno.","Tak, píšu „smíchat“ do sešitu.",ne
mezclar,promíchat,2487,"Bueno, practico hoy la palabra «mezclar».",Teď si dobře pamatuji slovo „promíchat“.,ne
mezclar,smísit,2488,Hoy uso la palabra «mezclar» en una frase.,Vážně dnes procvičuji slovo „smísit“.,ne
enmantequillar y enharinar,vymazat máslem a vysypat moukou,2489,Pues uso la palabra «enmantequillar y enharinar» en una frase.,"Hele, používám slovo „vymazat máslem a vysypat moukou“ ve větě.",ne
"tuyo, tuya",tvůj,2490,"Ahora digo «tuyo, tuya» y todos entienden.",Takže slyším slovo „tvůj“ ve třídě.,ne
"tuyo, tuya",tvoje,2491,"Claro, digo «tuyo, tuya» y todos entienden.","Poslouchej, slyším slovo „tvoje“ ve třídě.",ne
próximo,příští,2492,Esta mañana escribo «próximo» en mi cuaderno.,"Řekni, řeknu „příští“ a všichni rozumí.",ne
próximo,další,2493,En serio practico hoy la palabra «próximo».,Skoro nikdy si dobře pamatuji slovo „další“.,ne
la próxima vez,příště,2494,Anoche uso la palabra «la próxima vez» en una frase.,"Víš, píšu „příště“ do sešitu.",ne
a la vez,najednou,2495,"Claro, digo «a la vez» y todos entienden.","Jasně, si dobře pamatuji slovo „najednou“.",ne
a la vez,současně,2496,En serio escucho la palabra «a la vez» en clase.,Takže dnes procvičuji slovo „současně“.,ne
aquella vez,tehdy,2497,A veces uso la palabra «aquella vez» en una frase.,Včera večer si dobře pamatuji slovo „tehdy“.,ne
aquella vez,tenkrát,2498,Hoy uso la palabra «aquella vez» en una frase.,"Řekni, si dobře pamatuji slovo „tenkrát“.",ne
cada vez más / menos,čím dál tím víc / méně,2499,"Dime, digo «cada vez más / menos» y todos entienden.",Konečně dnes procvičuji slovo „čím dál tím víc / méně“.,ne
cada vez que,vždycky / pokaždé když,2500,En serio escucho la palabra «cada vez que» en clase.,Dnes ráno dnes procvičuji slovo „vždycky / pokaždé když“.,ne
otra vez,jindy,2501,Anoche digo «otra vez» y todos entienden.,Najednou řeknu „jindy“ a všichni rozumí.,ne
otra vez,znovu,2502,"Dime, escribo «otra vez» en mi cuaderno.","Víš, píšu „znovu“ do sešitu.",ne
rara vez,téměř nikdy,2503,"Sabes, practico hoy la palabra «rara vez».",Dnes ráno řeknu „téměř nikdy“ a všichni rozumí.,ne
raro,zvláštní,2504,Hoy practico hoy la palabra «raro».,Najednou si dobře pamatuji slovo „zvláštní“.,ne
raro,podivný,2505,"Imagínate, practico hoy la palabra «raro».",Najednou dnes procvičuji slovo „podivný“.,ne
raro,vzácný,2506,En serio practico hoy la palabra «raro».,"Řekni, píšu „vzácný“ do sešitu.",ne
tal vez (quizá),snad,2507,"Sabes, recuerdo bien la palabra «tal vez (quizá)».","Víš, píšu „snad“ do sešitu.",ne
tal vez (quizá),asi,2508,Esta mañana recuerdo bien la palabra «tal vez (quizá)».,"Představ si, slyším slovo „asi“ ve třídě.",ne
de vez en cuando (a veces),sem tam,2509,Ahora digo «de vez en cuando (a veces)» y todos entienden.,"Hele, píšu „sem tam“ do sešitu.",ne
de vez en cuando (a veces),občas,2510,"Mira, digo «de vez en cuando (a veces)» y todos entienden.","Poslouchej, slyším slovo „občas“ ve třídě.",ne
de vez en cuando (a veces),z času na čas,2511,"Oye, escucho la palabra «de vez en cuando (a veces)» en clase.",Včera večer píšu „z času na čas“ do sešitu.,ne
una vez al mes (año) / una vez,jednou za měsíc (rok) / když už...,2512,Siempre digo «una vez al mes (año) / una vez» y todos entienden.,"Hele, používám slovo „jednou za měsíc (rok) / když už...“ ve větě.",ne
las más de las veces,většinou,2513,De repente escribo «las más de las veces» en mi cuaderno.,Vážně řeknu „většinou“ a všichni rozumí.,ne
las más de las veces,ve většině případů,2514,Esta mañana digo «las más de las veces» y todos entienden.,Skoro nikdy řeknu „ve většině případů“ a všichni rozumí.,ne
las más de las veces,nejčastěji,2515,"Dime, digo «las más de las veces» y todos entienden.","Dobře, si dobře pamatuji slovo „nejčastěji“.",ne
continuar,pokračovat,2516,"Imagínate, escucho la palabra «continuar» en clase.",Najednou řeknu „pokračovat“ a všichni rozumí.,ne
tampoco,také ne,2517,Hoy uso la palabra «tampoco» en una frase.,Vždy slyším slovo „také ne“ ve třídě.,ne
tampoco,rovněž ne,2518,"Sabes, uso la palabra «tampoco» en una frase.",Vážně si dobře pamatuji slovo „rovněž ne“.,ne
bello,krásný,2519,"Oye, practico hoy la palabra «bello».",Vážně řeknu „krásný“ a všichni rozumí.,ne
bello,půvabný,2520,"Imagínate, practico hoy la palabra «bello».",Někdy dnes procvičuji slovo „půvabný“.,ne
bello,skvělý,2521,Pues recuerdo bien la palabra «bello».,"Víš, dnes procvičuji slovo „skvělý“.",ne
bello,krasavec,2522,"Imagínate, escucho la palabra «bello» en clase.",Někdy používám slovo „krasavec“ ve větě.,ne
parecido / nada parecido,podobný (čemu) / nic podobného,2523,Por fin recuerdo bien la palabra «parecido / nada parecido».,Teď píšu „podobný (čemu) / nic podobného“ do sešitu.,ne
parecido / nada parecido,nic takového,2524,"Oye, digo «parecido / nada parecido» y todos entienden.","Jasně, dnes procvičuji slovo „nic takového“.",ne
la llamada,telefonát,2525,A veces recuerdo bien la palabra «la llamada».,"Představ si, píšu „telefonát“ do sešitu.",ne
la llamada,volání,2526,"Oye, escucho la palabra «la llamada» en clase.","Víš, si dobře pamatuji slovo „volání“.",ne
la llamada,mávání,2527,"Claro, recuerdo bien la palabra «la llamada».","Představ si, používám slovo „mávání“ ve větě.",ne
la llamada,upozornění,2528,"Mira, practico hoy la palabra «la llamada».",Vždy používám slovo „upozornění“ ve větě.,ne
la llamada,apel,2529,Casi nunca digo «la llamada» y todos entienden.,Dnes ráno dnes procvičuji slovo „apel“.,ne
el 20 de Diciembre,20.12.,2530,Casi nunca digo «el 20 de Diciembre» y todos entienden.,Dnes dnes procvičuji slovo „20.12.“.,ne
aproximadamente / precio aproximado,přibližně,2531,"Claro, digo «aproximadamente / precio aproximado» y todos entienden.",Dnes slyším slovo „přibližně“ ve třídě.,ne
aproximadamente / precio aproximado,asi,2532,"Mira, digo «aproximadamente / precio aproximado» y todos entienden.",Takže slyším slovo „asi“ ve třídě.,ne
aproximadamente / precio aproximado,kolem / přibližná cena,2533,Esta mañana uso la palabra «aproximadamente / precio aproximado» en una frase.,Takže dnes procvičuji slovo „kolem / přibližná cena“.,ne
aún / aún más,ještě,2534,A veces escribo «aún / aún más» en mi cuaderno.,Najednou slyším slovo „ještě“ ve třídě.,ne
aún / aún más,dosud / tím spíš,2535,"Claro, practico hoy la palabra «aún / aún más».",Vážně si dobře pamatuji slovo „dosud / tím spíš“.,ne
organizar,organizovat,2536,"Dime, digo «organizar» y todos entienden.","Hele, řeknu „organizovat“ a všichni rozumí.",ne
organizar,uspořádat,2537,Casi nunca uso la palabra «organizar» en una frase.,"Poslouchej, píšu „uspořádat“ do sešitu.",ne
organizar,rozvrhnout,2538,"Vale, digo «organizar» y todos entienden.",Včera večer používám slovo „rozvrhnout“ ve větě.,ne
el ofrecimiento,nabídka,2539,Casi nunca practico hoy la palabra «el ofrecimiento».,"Řekni, používám slovo „nabídka“ ve větě.",ne
el ofrecimiento,návrh,2540,Esta mañana practico hoy la palabra «el ofrecimiento».,"Víš, dnes procvičuji slovo „návrh“.",ne
árbol de Navidad,vánoční stromeček,2541,En serio practico hoy la palabra «árbol de Navidad».,Teď dnes procvičuji slovo „vánoční stromeček“.,ne
la Navidad (¡Feliz Navidad!),vánoce (veselé vánoce),2542,"Imagínate, escucho la palabra «la Navidad (¡Feliz Navidad!)» en clase.",Najednou dnes procvičuji slovo „vánoce (veselé vánoce)“.,ne
pariente,příbuzný,2543,"Oye, digo «pariente» y todos entienden.",Dnes ráno dnes procvičuji slovo „příbuzný“.,ne
pariente,příbuzná,2544,Entonces practico hoy la palabra «pariente».,Dnes řeknu „příbuzná“ a všichni rozumí.,ne
el enlace / enlace de hidrógeno,link na internetu / vodíková vazba,2545,Entonces practico hoy la palabra «el enlace / enlace de hidrógeno».,"Jasně, řeknu „link na internetu / vodíková vazba“ a všichni rozumí.",ne
mientras / entretanto,dokud,2546,"Imagínate, digo «mientras / entretanto» y todos entienden.",Skoro nikdy píšu „dokud“ do sešitu.,ne
mientras / entretanto,pokud,2547,"Mira, escucho la palabra «mientras / entretanto» en clase.","Jasně, řeknu „pokud“ a všichni rozumí.",ne
mientras / entretanto,mezitím,2548,"Mira, escribo «mientras / entretanto» en mi cuaderno.",Vážně řeknu „mezitím“ a všichni rozumí.,ne
mientras / entretanto,zatím co,2549,Por fin digo «mientras / entretanto» y todos entienden.,"Představ si, píšu „zatím co“ do sešitu.",ne
aprovechar (la oportunidad / ocasión / la posibilidad),využít,2550,"Vale, digo «aprovechar (la oportunidad / ocasión / la posibilidad)» y todos entienden.",No dnes procvičuji slovo „využít“.,ne
aprovechar (la oportunidad / ocasión / la posibilidad),zužitkovat (příležitost/možnost),2551,Por fin uso la palabra «aprovechar (la oportunidad / ocasión / la posibilidad)» en una frase.,Konečně dnes procvičuji slovo „zužitkovat (příležitost/možnost)“.,ne
el año pasado,minulý rok,2552,"Claro, recuerdo bien la palabra «el año pasado».",Někdy píšu „minulý rok“ do sešitu.,ne
entregar,dát,2553,Hoy escucho la palabra «entregar» en clase.,Dnes ráno si dobře pamatuji slovo „dát“.,ne
entregar,předat,2554,Hoy uso la palabra «entregar» en una frase.,No píšu „předat“ do sešitu.,ne
