FR,CZ,Order,Sentence,SentenceT,L,HT,gender_fr
amie,kamarádka,240,Mon amie arrive demain matin.,Moje kamarádka přijede zítra ráno.,ne,ne,f
passeport,pas,241,Mon passeport est dans mon sac.,Můj pas je v mé tašce.,ne,ne,m
votre,"vaše, Vaše",242,Votre table est près de la fenêtre.,Váš stůl je u okna.,ne,ano,
avion,letadlo,243,L'avion atterrit à onze heures.,Letadlo přistává v jedenáct hodin.,ne,ano,m
atterrir,přistát,244,L'avion va bientôt atterrir.,Letadlo brzy přistane.,ne,ano,
rouge,červená,245,Cette robe rouge est très jolie.,Ty červené šaty jsou moc hezké.,ne,ne,
bicyclette,jízdní kolo,246,Sa bicyclette reste devant la porte.,Její jízdní kolo zůstává před dveřmi.,ne,ano,f
aller,jet,247,Nous allons au marché à pied.,Jdeme pěšky na trh.,ne,ano,
payer,platit,248,Je paie par carte aujourd'hui.,Dnes platím kartou.,ne,ano,
déjeuner,obědvat,249,Nous déjeunons à midi.,Obědváme v poledne.,ne,ano,
repas,jídlo,250,Le repas est déjà prêt.,Jídlo je už hotové.,ne,ano,m
préparer,připravovat,251,Je prépare une salade simple.,Připravuji jednoduchý salát.,ne,ano,
collègue,kolegyně,252,Ma collègue travaille ici.,Moje kolegyně pracuje tady.,ne,ano,f
salade,salát,253,Cette salade est très fraîche.,Ten salát je velmi čerstvý.,ne,ano,f
cafétéria,"jídelna, kantýna",254,La cafétéria ferme à trois heures.,Jídelna zavírá ve tři hodiny.,ne,ano,f
bonne,"chutný,  dobrý",255,La soupe est bonne ce soir.,Polévka je dnes večer dobrá.,ne,ano,
végétarien,vegetarián,256,Mon frère est végétarien.,Můj bratr je vegetarián.,ne,ano,m
