Id,InfFR,Tense,Number,Person,Pronoun,Form,Sentence,SentenceT
v018-09,passer,present,S,3,il,passe,Il passe par cette rue.,On prochází touto ulicí.
v018-10,passer,present,P,1,nous,passons,Nous passons devant l'école.,My procházíme před školou.
v018-11,passer,present,P,1,nous,passons,Nous passons devant la gare.,My procházíme před nádražím.
v018-12,passer,present,P,1,nous,passons,Nous passons devant le magasin.,My procházíme před obchodem.
v018-13,passer,present,P,2,vous,passez,Vous passez devant la banque.,Vy procházíte před bankou.
v018-14,passer,present,P,2,vous,passez,Vous passez devant la poste.,Vy procházíte před poštou.
v018-15,passer,present,P,2,vous,passez,Vous passez devant le café.,Vy procházíte před kavárnou.
v018-16,passer,present,P,3,ils,passent,Ils passent par le parc.,Oni procházejí parkem.
v018-17,passer,present,P,3,elles,passent,Elles passent par le jardin.,Ony procházejí zahradou.
v018-18,passer,present,P,3,ils,passent,Ils passent par cette rue.,Oni procházejí touto ulicí.
v019-01,regarder,present,S,1,je,regarde,Je regarde un film.,Já sleduji film.
v019-02,regarder,present,S,1,je,regarde,Je regarde la télévision.,Já sleduji televizi.
v019-03,regarder,present,S,1,je,regarde,Je regarde un match.,Já sleduji zápas.
v019-04,regarder,present,S,2,tu,regardes,Tu regardes les oiseaux.,Ty sleduješ ptáky.
v019-05,regarder,present,S,2,tu,regardes,Tu regardes les enfants.,Ty sleduješ děti.
v019-06,regarder,present,S,2,tu,regardes,Tu regardes les bateaux.,Ty sleduješ lodě.
v019-07,regarder,present,S,3,il,regarde,Il regarde un chat.,On sleduje kočku.
v019-08,regarder,present,S,3,elle,regarde,Elle regarde un chien.,Ona sleduje psa.
v019-09,regarder,present,S,3,il,regarde,Il regarde un cheval.,On sleduje koně.
v019-10,regarder,present,P,1,nous,regardons,Nous regardons un film.,My sledujeme film.
v019-11,regarder,present,P,1,nous,regardons,Nous regardons la télévision.,My sledujeme televizi.
v019-12,regarder,present,P,1,nous,regardons,Nous regardons un match.,My sledujeme zápas.
v019-13,regarder,present,P,2,vous,regardez,Vous regardez les oiseaux.,Vy sledujete ptáky.
v019-14,regarder,present,P,2,vous,regardez,Vous regardez les enfants.,Vy sledujete děti.
v019-15,regarder,present,P,2,vous,regardez,Vous regardez les bateaux.,Vy sledujete lodě.
v019-16,regarder,present,P,3,ils,regardent,Ils regardent un chat.,Oni sledují kočku.
v019-17,regarder,present,P,3,elles,regardent,Elles regardent un chien.,Ony sledují psa.
v019-18,regarder,present,P,3,ils,regardent,Ils regardent un cheval.,Oni sledují koně.
v020-01,aimer,present,S,1,j',aime,J'aime le chocolat.,Já mám rád čokoládu.
v020-02,aimer,present,S,1,j',aime,J'aime le fromage.,Já mám rád sýr.
v020-03,aimer,present,S,1,j',aime,J'aime le pain.,Já mám rád chleba.
v020-04,aimer,present,S,2,tu,aimes,Tu aimes le café.,Ty máš rád kávu.
v020-05,aimer,present,S,2,tu,aimes,Tu aimes le thé.,Ty máš rád čaj.
v020-06,aimer,present,S,2,tu,aimes,Tu aimes le lait.,Ty máš rád mléko.
v020-07,aimer,present,S,3,il,aime,Il aime les livres.,On má rád knihy.
v020-08,aimer,present,S,3,elle,aime,Elle aime la musique.,Ona má ráda hudbu.
v020-09,aimer,present,S,3,il,aime,Il aime le cinéma.,On má rád kino.
v020-10,aimer,present,P,1,nous,aimons,Nous aimons la mer.,My máme rádi moře.
v020-11,aimer,present,P,1,nous,aimons,Nous aimons la montagne.,My máme rádi hory.
v020-12,aimer,present,P,1,nous,aimons,Nous aimons la nature.,My máme rádi přírodu.
v020-13,aimer,present,P,2,vous,aimez,Vous aimez les chiens.,Vy máte rádi psy.
v020-14,aimer,present,P,2,vous,aimez,Vous aimez les chats.,Vy máte rádi kočky.
v020-15,aimer,present,P,2,vous,aimez,Vous aimez les oiseaux.,Vy máte rádi ptáky.
v020-16,aimer,present,P,3,ils,aiment,Ils aiment les pommes.,Oni mají rádi jablka.
v020-17,aimer,present,P,3,elles,aiment,Elles aiment les fraises.,Ony mají rády jahody.
v020-18,aimer,present,P,3,ils,aiment,Ils aiment les fleurs.,Oni mají rádi květiny.
v021-01,croire,present,S,1,je,crois,Je crois Paul.,Já věřím Paulovi.
v021-02,croire,present,S,1,je,crois,Je crois Marie.,Já věřím Marii.
v021-03,croire,present,S,1,je,crois,Je crois le médecin.,Já věřím lékaři.
v021-04,croire,present,S,2,tu,crois,Tu crois le professeur.,Ty věříš učiteli.
v021-05,croire,present,S,2,tu,crois,Tu crois les enfants.,Ty věříš dětem.
v021-06,croire,present,S,2,tu,crois,Tu crois ce garçon.,Ty věříš tomuto chlapci.
v021-07,croire,present,S,3,il,croit,Il croit en l'amour.,On věří v lásku.
v021-08,croire,present,S,3,elle,croit,Elle croit en l'avenir.,Ona věří v budoucnost.
v021-09,croire,present,S,3,il,croit,Il croit en cette idée.,On věří v tuto myšlenku.
v021-10,croire,present,P,1,nous,croyons,Nous croyons Paul.,My věříme Paulovi.
v021-11,croire,present,P,1,nous,croyons,Nous croyons Marie.,My věříme Marii.
v021-12,croire,present,P,1,nous,croyons,Nous croyons le médecin.,My věříme lékaři.
v021-13,croire,present,P,2,vous,croyez,Vous croyez le professeur.,Vy věříte učiteli.
v021-14,croire,present,P,2,vous,croyez,Vous croyez les enfants.,Vy věříte dětem.
v021-15,croire,present,P,2,vous,croyez,Vous croyez ce garçon.,Vy věříte tomuto chlapci.
v021-16,croire,present,P,3,ils,croient,Ils croient en l'amour.,Oni věří v lásku.
v021-17,croire,present,P,3,elles,croient,Elles croient en l'avenir.,Ony věří v budoucnost.
v021-18,croire,present,P,3,ils,croient,Ils croient en cette idée.,Oni věří v tuto myšlenku.
v022-01,demander,present,S,1,je,demande,Je demande un café.,Já žádám o kávu.
v022-02,demander,present,S,1,je,demande,Je demande un thé.,Já žádám o čaj.
v022-03,demander,present,S,1,je,demande,Je demande un verre d'eau.,Já žádám o sklenici vody.
v022-04,demander,present,S,2,tu,demandes,Tu demandes une chambre.,Ty žádáš o pokoj.
v022-05,demander,present,S,2,tu,demandes,Tu demandes une table.,Ty žádáš o stůl.
v022-06,demander,present,S,2,tu,demandes,Tu demandes un billet.,Ty žádáš o lístek.
v022-07,demander,present,S,3,il,demande,Il demande de l'aide.,On žádá o pomoc.
v022-08,demander,present,S,3,elle,demande,Elle demande un conseil.,Ona žádá o radu.
v022-09,demander,present,S,3,il,demande,Il demande une explication.,On žádá o vysvětlení.
v022-10,demander,present,P,1,nous,demandons,Nous demandons un café.,My žádáme o kávu.
v022-11,demander,present,P,1,nous,demandons,Nous demandons un thé.,My žádáme o čaj.
v022-12,demander,present,P,1,nous,demandons,Nous demandons un verre d'eau.,My žádáme o sklenici vody.
v022-13,demander,present,P,2,vous,demandez,Vous demandez une chambre.,Vy žádáte o pokoj.
v022-14,demander,present,P,2,vous,demandez,Vous demandez une table.,Vy žádáte o stůl.
v022-15,demander,present,P,2,vous,demandez,Vous demandez un billet.,Vy žádáte o lístek.
v022-16,demander,present,P,3,ils,demandent,Ils demandent de l'aide.,Oni žádají o pomoc.
v022-17,demander,present,P,3,elles,demandent,Elles demandent un conseil.,Ony žádají o radu.
v022-18,demander,present,P,3,ils,demandent,Ils demandent une explication.,Oni žádají o vysvětlení.
v023-01,rester,present,S,1,je,reste,Je reste à la maison.,Já zůstávám doma.
v023-02,rester,present,S,1,je,reste,Je reste à l'école.,Já zůstávám ve škole.
v023-03,rester,present,S,1,je,reste,Je reste au travail.,Já zůstávám v práci.
v023-04,rester,present,S,2,tu,restes,Tu restes dans la chambre.,Ty zůstáváš v pokoji.
v023-05,rester,present,S,2,tu,restes,Tu restes dans le jardin.,Ty zůstáváš na zahradě.
v023-06,rester,present,S,2,tu,restes,Tu restes dans la cuisine.,Ty zůstáváš v kuchyni.
v023-07,rester,present,S,3,il,reste,Il reste au parc.,On zůstává v parku.
v023-08,rester,present,S,3,elle,reste,Elle reste à la plage.,Ona zůstává na pláži.
v023-09,rester,present,S,3,il,reste,Il reste à l'hôtel.,On zůstává v hotelu.
v023-10,rester,present,P,1,nous,restons,Nous restons avec les enfants.,My zůstáváme s dětmi.
v023-11,rester,present,P,1,nous,restons,Nous restons avec Paul.,My zůstáváme s Paulem.
v023-12,rester,present,P,1,nous,restons,Nous restons avec Marie.,My zůstáváme s Marií.
v023-13,rester,present,P,2,vous,restez,Vous restez ici ce soir.,Vy zůstáváte tady dnes večer.
v023-14,rester,present,P,2,vous,restez,Vous restez dehors.,Vy zůstáváte venku.
v023-15,rester,present,P,2,vous,restez,Vous restez à l'intérieur.,Vy zůstáváte uvnitř.
v023-16,rester,present,P,3,ils,restent,Ils restent près de la porte.,Oni zůstávají blízko dveří.
v023-17,rester,present,P,3,elles,restent,Elles restent encore une heure.,Ony zůstávají ještě hodinu.
v023-18,rester,present,P,3,ils,restent,Ils restent jusqu'à midi.,Oni zůstávají až do poledne.
v024-01,répondre,present,S,1,je,réponds,Je réponds à Paul.,Já odpovídám Paulovi.
v024-02,répondre,present,S,1,je,réponds,Je réponds à Marie.,Já odpovídám Marii.
v024-03,répondre,present,S,1,je,réponds,Je réponds au médecin.,Já odpovídám lékaři.
v024-04,répondre,present,S,2,tu,réponds,Tu réponds au professeur.,Ty odpovídáš učiteli.
v024-05,répondre,present,S,2,tu,réponds,Tu réponds aux enfants.,Ty odpovídáš dětem.
v024-06,répondre,present,S,2,tu,réponds,Tu réponds à un ami.,Ty odpovídáš kamarádovi.
v024-07,répondre,present,S,3,il,répond,Il répond à une question.,On odpovídá na otázku.
v024-08,répondre,present,S,3,elle,répond,Elle répond à une lettre.,Ona odpovídá na dopis.
v024-09,répondre,present,S,3,il,répond,Il répond à un message.,On odpovídá na zprávu.
v024-10,répondre,present,P,1,nous,répondons,Nous répondons à Paul.,My odpovídáme Paulovi.
v024-11,répondre,present,P,1,nous,répondons,Nous répondons à Marie.,My odpovídáme Marii.
v024-12,répondre,present,P,1,nous,répondons,Nous répondons au médecin.,My odpovídáme lékaři.
v024-13,répondre,present,P,2,vous,répondez,Vous répondez au professeur.,Vy odpovídáte učiteli.
v024-14,répondre,present,P,2,vous,répondez,Vous répondez aux enfants.,Vy odpovídáte dětem.
v024-15,répondre,present,P,2,vous,répondez,Vous répondez à un ami.,Vy odpovídáte kamarádovi.
v024-16,répondre,present,P,3,ils,répondent,Ils répondent à une question.,Oni odpovídají na otázku.
v024-17,répondre,present,P,3,elles,répondent,Elles répondent à une lettre.,Ony odpovídají na dopis.
v024-18,répondre,present,P,3,ils,répondent,Ils répondent à un message.,Oni odpovídají na zprávu.
v025-01,entendre,present,S,1,j',entends,J'entends un chien.,Já slyším psa.
v025-02,entendre,present,S,1,j',entends,J'entends un chat.,Já slyším kočku.
v025-03,entendre,present,S,1,j',entends,J'entends un oiseau.,Já slyším ptáka.
v025-04,entendre,present,S,2,tu,entends,Tu entends la pluie.,Ty slyšíš déšť.
v025-05,entendre,present,S,2,tu,entends,Tu entends le vent.,Ty slyšíš vítr.
v025-06,entendre,present,S,2,tu,entends,Tu entends la mer.,Ty slyšíš moře.
v025-07,entendre,present,S,3,il,entend,Il entend une voiture.,On slyší auto.
v025-08,entendre,present,S,3,elle,entend,Elle entend un train.,Ona slyší vlak.
v025-09,entendre,present,S,3,il,entend,Il entend un avion.,On slyší letadlo.
v025-10,entendre,present,P,1,nous,entendons,Nous entendons de la musique.,My slyšíme hudbu.
v025-11,entendre,present,P,1,nous,entendons,Nous entendons une chanson.,My slyšíme písničku.
v025-12,entendre,present,P,1,nous,entendons,Nous entendons la radio.,My slyšíme rádio.
v025-13,entendre,present,P,2,vous,entendez,Vous entendez une voix.,Vy slyšíte hlas.
v025-14,entendre,present,P,2,vous,entendez,Vous entendez un rire.,Vy slyšíte smích.
v025-15,entendre,present,P,2,vous,entendez,Vous entendez un cri.,Vy slyšíte výkřik.
v025-16,entendre,present,P,3,ils,entendent,Ils entendent le téléphone.,Oni slyší telefon.
v025-17,entendre,present,P,3,elles,entendent,Elles entendent les enfants.,Ony slyší děti.
v025-18,entendre,present,P,3,ils,entendent,Ils entendent une cloche.,Oni slyší zvon.
v026-01,penser,present,S,1,je,pense,Je pense à Paul.,Já myslím na Paula.
v026-02,penser,present,S,1,je,pense,Je pense à Marie.,Já myslím na Marii.
v026-03,penser,present,S,1,je,pense,Je pense aux enfants.,Já myslím na děti.
v026-04,penser,present,S,2,tu,penses,Tu penses au travail.,Ty myslíš na práci.
v026-05,penser,present,S,2,tu,penses,Tu penses aux vacances.,Ty myslíš na dovolenou.
v026-06,penser,present,S,2,tu,penses,Tu penses au repas.,Ty myslíš na jídlo.
v026-07,penser,present,S,3,il,pense,Il pense à la maison.,On myslí na dům.
v026-08,penser,present,S,3,elle,pense,Elle pense à ce voyage.,Ona myslí na tuto cestu.
v026-09,penser,present,S,3,il,pense,Il pense à cette question.,On myslí na tuto otázku.
v026-10,penser,present,P,1,nous,pensons,Nous pensons à Paul.,My myslíme na Paula.
v026-11,penser,present,P,1,nous,pensons,Nous pensons à Marie.,My myslíme na Marii.
v026-12,penser,present,P,1,nous,pensons,Nous pensons aux enfants.,My myslíme na děti.
v026-13,penser,present,P,2,vous,pensez,Vous pensez au travail.,Vy myslíte na práci.
v026-14,penser,present,P,2,vous,pensez,Vous pensez aux vacances.,Vy myslíte na dovolenou.
v026-15,penser,present,P,2,vous,pensez,Vous pensez au repas.,Vy myslíte na jídlo.
v026-16,penser,present,P,3,ils,pensent,Ils pensent à la maison.,Oni myslí na dům.
v026-17,penser,present,P,3,elles,pensent,Elles pensent à ce voyage.,Ony myslí na tuto cestu.
v026-18,penser,present,P,3,ils,pensent,Ils pensent à cette question.,Oni myslí na tuto otázku.
v027-01,arriver,present,S,1,j',arrive,J'arrive à l'école.,Já přicházím do školy.
v027-02,arriver,present,S,1,j',arrive,J'arrive au travail.,Já přicházím do práce.
v027-03,arriver,present,S,1,j',arrive,J'arrive à la gare.,Já přicházím na nádraží.
v027-04,arriver,present,S,2,tu,arrives,Tu arrives à la maison.,Ty přicházíš domů.
v027-05,arriver,present,S,2,tu,arrives,Tu arrives au restaurant.,Ty přicházíš do restaurace.
v027-06,arriver,present,S,2,tu,arrives,Tu arrives au parc.,Ty přicházíš do parku.
v027-07,arriver,present,S,3,il,arrive,Il arrive à huit heures.,On přichází v osm hodin.
v027-08,arriver,present,S,3,elle,arrive,Elle arrive à midi.,Ona přichází v poledne.
v027-09,arriver,present,S,3,il,arrive,Il arrive le soir.,On přichází večer.
v027-10,arriver,present,P,1,nous,arrivons,Nous arrivons à pied.,My přicházíme pěšky.
v027-11,arriver,present,P,1,nous,arrivons,Nous arrivons avec Paul.,My přicházíme s Paulem.
v027-12,arriver,present,P,1,nous,arrivons,Nous arrivons avec Marie.,My přicházíme s Marií.
v027-13,arriver,present,P,2,vous,arrivez,Vous arrivez en avance.,Vy přicházíte s předstihem.
v027-14,arriver,present,P,2,vous,arrivez,Vous arrivez à l'heure.,Vy přicházíte včas.
v027-15,arriver,present,P,2,vous,arrivez,Vous arrivez en retard.,Vy přicházíte pozdě.
v027-16,arriver,present,P,3,ils,arrivent,Ils arrivent par la petite rue.,Oni přicházejí malou ulicí.
v027-17,arriver,present,P,3,elles,arrivent,Elles arrivent avec un sac.,Ony přicházejí s taškou.
v027-18,arriver,present,P,3,ils,arrivent,Ils arrivent avec les enfants.,Oni přicházejí s dětmi.
v028-01,connaître,present,S,1,je,connais,Je connais Paul.,Já znám Paula.
v028-02,connaître,present,S,1,je,connais,Je connais Marie.,Já znám Marii.
v028-03,connaître,present,S,1,je,connais,Je connais le médecin.,Já znám lékaře.
v028-04,connaître,present,S,2,tu,connais,Tu connais ce professeur.,Ty znáš tohoto učitele.
v028-05,connaître,present,S,2,tu,connais,Tu connais ce voisin.,Ty znáš tohoto souseda.
v028-06,connaître,present,S,2,tu,connais,Tu connais cette famille.,Ty znáš tuto rodinu.
v028-07,connaître,present,S,3,il,connaît,Il connaît Paris.,On zná Paříž.
v028-08,connaître,present,S,3,elle,connaît,Elle connaît Prague.,Ona zná Prahu.
v028-09,connaître,present,S,3,il,connaît,Il connaît Rome.,On zná Řím.
v028-10,connaître,present,P,1,nous,connaissons,Nous connaissons ce quartier.,My známe tuto čtvrť.
v028-11,connaître,present,P,1,nous,connaissons,Nous connaissons cette rue.,My známe tuto ulici.
v028-12,connaître,present,P,1,nous,connaissons,Nous connaissons ce chemin.,My známe tuto cestu.
v028-13,connaître,present,P,2,vous,connaissez,Vous connaissez ce restaurant.,Vy znáte tuto restauraci.
v028-14,connaître,present,P,2,vous,connaissez,Vous connaissez ce magasin.,Vy znáte tento obchod.
v028-15,connaître,present,P,2,vous,connaissez,Vous connaissez cet hôtel.,Vy znáte tento hotel.
v028-16,connaître,present,P,3,ils,connaissent,Ils connaissent cette chanson.,Oni znají tuto písničku.
v028-17,connaître,present,P,3,elles,connaissent,Elles connaissent cette histoire.,Ony znají tento příběh.
v028-18,connaître,present,P,3,ils,connaissent,Ils connaissent ce jeu.,Oni znají tuto hru.
v029-01,devenir,present,S,1,je,deviens,Je deviens calme.,Já se stávám klidným.
v029-02,devenir,present,S,1,je,deviens,Je deviens fort.,Já se stávám silným.
v029-03,devenir,present,S,1,je,deviens,Je deviens patient.,Já se stávám trpělivým.
v029-04,devenir,present,S,2,tu,deviens,Tu deviens célèbre.,Ty se stáváš slavným.
v029-05,devenir,present,S,2,tu,deviens,Tu deviens riche.,Ty se stáváš bohatým.
v029-06,devenir,present,S,2,tu,deviens,Tu deviens plus rapide.,Ty se stáváš rychlejším.
v029-07,devenir,present,S,3,il,devient,Il devient médecin.,On se stává lékařem.
v029-08,devenir,present,S,3,elle,devient,Elle devient professeur.,Ona se stává učitelkou.
v029-09,devenir,present,S,3,il,devient,Il devient père.,On se stává otcem.
v029-10,devenir,present,P,1,nous,devenons,Nous devenons amis.,My se stáváme přáteli.
v029-11,devenir,present,P,1,nous,devenons,Nous devenons voisins.,My se stáváme sousedy.
v029-12,devenir,present,P,1,nous,devenons,Nous devenons collègues.,My se stáváme kolegy.
v029-13,devenir,present,P,2,vous,devenez,Vous devenez plus forts.,Vy se stáváte silnějšími.
v029-14,devenir,present,P,2,vous,devenez,Vous devenez plus calmes.,Vy se stáváte klidnějšími.
v029-15,devenir,present,P,2,vous,devenez,Vous devenez plus patients.,Vy se stáváte trpělivějšími.
v029-16,devenir,present,P,3,ils,deviennent,Ils deviennent adultes.,Oni se stávají dospělými.
v029-17,devenir,present,P,3,elles,deviennent,Elles deviennent célèbres.,Ony se stávají slavnými.
v029-18,devenir,present,P,3,ils,deviennent,Ils deviennent riches.,Oni se stávají bohatými.
v030-01,sentir,present,S,1,je,sens,Je sens le froid.,Já cítím chlad.
v030-02,sentir,present,S,1,je,sens,Je sens la chaleur.,Já cítím teplo.
v030-03,sentir,present,S,1,je,sens,Je sens le vent.,Já cítím vítr.
v030-04,sentir,present,S,2,tu,sens,Tu sens une odeur de café.,Ty cítíš vůni kávy.
v030-05,sentir,present,S,2,tu,sens,Tu sens une odeur de pain.,Ty cítíš vůni chleba.
v030-06,sentir,present,S,2,tu,sens,Tu sens une odeur de fleurs.,Ty cítíš vůni květin.
v030-07,sentir,present,S,3,il,sent,Il sent la fatigue.,On cítí únavu.
v030-08,sentir,present,S,3,elle,sent,Elle sent la faim.,Ona cítí hlad.
v030-09,sentir,present,S,3,il,sent,Il sent la soif.,On cítí žízeň.
v030-10,sentir,present,P,1,nous,sentons,Nous sentons le froid.,My cítíme chlad.
v030-11,sentir,present,P,1,nous,sentons,Nous sentons la chaleur.,My cítíme teplo.
v030-12,sentir,present,P,1,nous,sentons,Nous sentons le vent.,My cítíme vítr.
v030-13,sentir,present,P,2,vous,sentez,Vous sentez une odeur de café.,Vy cítíte vůni kávy.
v030-14,sentir,present,P,2,vous,sentez,Vous sentez une odeur de pain.,Vy cítíte vůni chleba.
v030-15,sentir,present,P,2,vous,sentez,Vous sentez une odeur de fleurs.,Vy cítíte vůni květin.
v030-16,sentir,present,P,3,ils,sentent,Ils sentent la fatigue.,Oni cítí únavu.
v030-17,sentir,present,P,3,elles,sentent,Elles sentent la faim.,Ony cítí hlad.
v030-18,sentir,present,P,3,ils,sentent,Ils sentent la soif.,Oni cítí žízeň.
v031-01,sembler,present,S,1,je,semble,Je semble calme.,Já vypadám klidně.
v031-02,sembler,present,S,1,je,semble,Je semble fatigué.,Já vypadám unaveně.
v031-03,sembler,present,S,1,je,semble,Je semble heureux.,Já vypadám šťastně.
v031-04,sembler,present,S,2,tu,sembles,Tu sembles triste.,Ty vypadáš smutně.
v031-05,sembler,present,S,2,tu,sembles,Tu sembles malade.,Ty vypadáš nemocně.
v031-06,sembler,present,S,2,tu,sembles,Tu sembles surpris.,Ty vypadáš překvapeně.
v031-07,sembler,present,S,3,il,semble,Il semble content.,On vypadá spokojeně.
v031-08,sembler,present,S,3,elle,semble,Elle semble inquiète.,Ona vypadá ustaraně.
v031-09,sembler,present,S,3,il,semble,Il semble jeune.,On vypadá mladě.
v031-10,sembler,present,P,1,nous,semblons,Nous semblons calmes.,My vypadáme klidně.
v031-11,sembler,present,P,1,nous,semblons,Nous semblons fatigués.,My vypadáme unaveně.
v031-12,sembler,present,P,1,nous,semblons,Nous semblons heureux.,My vypadáme šťastně.
v031-13,sembler,present,P,2,vous,semblez,Vous semblez tristes.,Vy vypadáte smutně.
v031-14,sembler,present,P,2,vous,semblez,Vous semblez malades.,Vy vypadáte nemocně.
v031-15,sembler,present,P,2,vous,semblez,Vous semblez surpris.,Vy vypadáte překvapeně.
v031-16,sembler,present,P,3,ils,semblent,Ils semblent contents.,Oni vypadají spokojeně.
v031-17,sembler,present,P,3,elles,semblent,Elles semblent inquiètes.,Ony vypadají ustaraně.
v031-18,sembler,present,P,3,ils,semblent,Ils semblent jeunes.,Oni vypadají mladě.
v032-01,tenir,present,S,1,je,tiens,Je tiens un livre.,Já držím knihu.
v032-02,tenir,present,S,1,je,tiens,Je tiens un stylo.,Já držím pero.
v032-03,tenir,present,S,1,je,tiens,Je tiens une feuille.,Já držím list papíru.
v032-04,tenir,present,S,2,tu,tiens,Tu tiens une tasse.,Ty držíš šálek.
v032-05,tenir,present,S,2,tu,tiens,Tu tiens un verre.,Ty držíš sklenici.
v032-06,tenir,present,S,2,tu,tiens,Tu tiens une assiette.,Ty držíš talíř.
v032-07,tenir,present,S,3,il,tient,Il tient un sac.,On drží tašku.
v032-08,tenir,present,S,3,elle,tient,Elle tient une valise.,Ona drží kufr.
v032-09,tenir,present,S,3,il,tient,Il tient un parapluie.,On drží deštník.
v032-10,tenir,present,P,1,nous,tenons,Nous tenons une clé.,My držíme klíč.
v032-11,tenir,present,P,1,nous,tenons,Nous tenons une corde.,My držíme lano.
v032-12,tenir,present,P,1,nous,tenons,Nous tenons une branche.,My držíme větev.
v032-13,tenir,present,P,2,vous,tenez,Vous tenez la main du bébé.,Vy držíte ruku miminka.
v032-14,tenir,present,P,2,vous,tenez,Vous tenez la porte.,Vy držíte dveře.
v032-15,tenir,present,P,2,vous,tenez,Vous tenez une lampe.,Vy držíte lampu.
v032-16,tenir,present,P,3,ils,tiennent,Ils tiennent une fleur.,Oni drží květinu.
v032-17,tenir,present,P,3,elles,tiennent,Elles tiennent une photo.,Ony drží fotografii.
v032-18,tenir,present,P,3,ils,tiennent,Ils tiennent un téléphone.,Oni drží telefon.
v033-01,comprendre,present,S,1,je,comprends,Je comprends le français.,Já rozumím francouzštině.
v033-02,comprendre,present,S,1,je,comprends,Je comprends l'italien.,Já rozumím italštině.
v033-03,comprendre,present,S,1,je,comprends,Je comprends l'anglais.,Já rozumím angličtině.
v033-04,comprendre,present,S,2,tu,comprends,Tu comprends la question.,Ty rozumíš otázce.
v033-05,comprendre,present,S,2,tu,comprends,Tu comprends la réponse.,Ty rozumíš odpovědi.
v033-06,comprendre,present,S,2,tu,comprends,Tu comprends la phrase.,Ty rozumíš větě.
v033-07,comprendre,present,S,3,il,comprend,Il comprend ce mot.,On rozumí tomuto slovu.
v033-08,comprendre,present,S,3,elle,comprend,Elle comprend ce texte.,Ona rozumí tomuto textu.
v033-09,comprendre,present,S,3,il,comprend,Il comprend cette lettre.,On rozumí tomuto dopisu.
v033-10,comprendre,present,P,1,nous,comprenons,Nous comprenons le professeur.,My rozumíme učiteli.
v033-11,comprendre,present,P,1,nous,comprenons,Nous comprenons le médecin.,My rozumíme lékaři.
v033-12,comprendre,present,P,1,nous,comprenons,Nous comprenons les enfants.,My rozumíme dětem.
v033-13,comprendre,present,P,2,vous,comprenez,Vous comprenez ce problème.,Vy rozumíte tomuto problému.
v033-14,comprendre,present,P,2,vous,comprenez,Vous comprenez les règles.,Vy rozumíte pravidlům.
v033-15,comprendre,present,P,2,vous,comprenez,Vous comprenez la leçon.,Vy rozumíte lekci.
v033-16,comprendre,present,P,3,ils,comprennent,Ils comprennent Paul.,Oni rozumějí Paulovi.
v033-17,comprendre,present,P,3,elles,comprennent,Elles comprennent Marie.,Ony rozumějí Marii.
v033-18,comprendre,present,P,3,ils,comprennent,Ils comprennent ce message.,Oni rozumějí této zprávě.
v034-01,rendre,present,S,1,je,rends,Je rends le livre à Paul.,Já vracím knihu Paulovi.
v034-02,rendre,present,S,1,je,rends,Je rends la clé à Marie.,Já vracím klíč Marii.
v034-03,rendre,present,S,1,je,rends,Je rends le stylo au professeur.,Já vracím pero učiteli.
v034-04,rendre,present,S,2,tu,rends,Tu rends le sac à Luc.,Ty vracíš tašku Lucovi.
v034-05,rendre,present,S,2,tu,rends,Tu rends le jouet au bébé.,Ty vracíš hračku miminku.
v034-06,rendre,present,S,2,tu,rends,Tu rends la tasse à une amie.,Ty vracíš šálek kamarádce.
v034-07,rendre,present,S,3,il,rend,Il rend le vélo à un voisin.,On vrací kolo sousedovi.
v034-08,rendre,present,S,3,elle,rend,Elle rend la carte à un ami.,Ona vrací mapu kamarádovi.
v034-09,rendre,present,S,3,il,rend,Il rend le téléphone à Julie.,On vrací telefon Julii.
v034-10,rendre,present,P,1,nous,rendons,Nous rendons le livre à Paul.,My vracíme knihu Paulovi.
v034-11,rendre,present,P,1,nous,rendons,Nous rendons la clé à Marie.,My vracíme klíč Marii.
v034-12,rendre,present,P,1,nous,rendons,Nous rendons le stylo au professeur.,My vracíme pero učiteli.
v034-13,rendre,present,P,2,vous,rendez,Vous rendez le sac à Luc.,Vy vracíte tašku Lucovi.
v034-14,rendre,present,P,2,vous,rendez,Vous rendez le jouet au bébé.,Vy vracíte hračku miminku.
v034-15,rendre,present,P,2,vous,rendez,Vous rendez la tasse à une amie.,Vy vracíte šálek kamarádce.
v034-16,rendre,present,P,3,ils,rendent,Ils rendent le vélo à un voisin.,Oni vracejí kolo sousedovi.
v034-17,rendre,present,P,3,elles,rendent,Elles rendent la carte à un ami.,Ony vracejí mapu kamarádovi.
v034-18,rendre,present,P,3,ils,rendent,Ils rendent le téléphone à Julie.,Oni vracejí telefon Julii.
v035-01,attendre,present,S,1,j',attends,J'attends le bus.,Já čekám na autobus.
v035-02,attendre,present,S,1,j',attends,J'attends le train.,Já čekám na vlak.
v035-03,attendre,present,S,1,j',attends,J'attends le taxi.,Já čekám na taxi.
v035-04,attendre,present,S,2,tu,attends,Tu attends Paul.,Ty čekáš na Paula.
v035-05,attendre,present,S,2,tu,attends,Tu attends Marie.,Ty čekáš na Marii.
v035-06,attendre,present,S,2,tu,attends,Tu attends le médecin.,Ty čekáš na lékaře.
v035-07,attendre,present,S,3,il,attend,Il attend les enfants.,On čeká na děti.
v035-08,attendre,present,S,3,elle,attend,Elle attend le professeur.,Ona čeká na učitele.
v035-09,attendre,present,S,3,il,attend,Il attend un ami.,On čeká na kamaráda.
v035-10,attendre,present,P,1,nous,attendons,Nous attendons une réponse.,My čekáme na odpověď.
