ES,CZ,Order
adelante,kupředu,3509
adelante,vepředu,3510
adelante,dále,3511
adelante,vstupte,3512
el amo, la ama,pán,3513
el amo, la ama,majitel,3514
la asistenta,pomocnice v domácnosti,3515
barato / abaratar,levný,3516
barato / abaratar,laciný / zlevnit,3517
casero / pan casero,domácí,3518
casero / pan casero,domácký,3519
casero / pan casero,doma udělaný / domácí chléb,3520
el cochinillo,podsvinče,3521
el cochinillo,sele,3522
acortar / cortado (en),zkrátit,3523
acortar / cortado (en),zmenšit / nakrájený (na),3524
el despacho (la oficina),kancelář,3525
el despacho (la oficina),pracovna,3526
la despensa,spíž,3527
la despensa,spižírna,3528
el duende,skřítek,3529
mago, maga,kouzelník,3530
mago, maga,čaroděj,3531
mago, maga,čarodějka,3532
el espárrago,chřest,3533
existir,být,3534
existir,existovat,3535
la fabada austuriana,hustá polévka s fazolemi a masem,3536
el festín,hostina,3537
el festín,oslava,3538
el garbanzo,cizrna,3539
la guitarra,kytara,3540
el jamón serrano,sušená šunka,3541
la judía / el frijol (LA),fazole,3542
convertir (a algien),přeměnit,3543
convertir (a algien),přestavět,3544
convertir (a algien),obrátit se na koho,3545
convertir fracciones en números decimales,převést zlomky na desetinná čísla,3546
la delicia,slast,3547
la delicia,rozkoš,3548
la delicia,potěšení,3549
Pues vaya.,Co se dá dělat.,3550
Acabo de decirle que estás duchándote.,Právě jsem mu řekla,3551
Acabo de decirle que estás duchándote.,že se sprchuješ.,3552
Por la tarde empiezo (me pongo) a limpiar la casa.,Odpoledne začnu uklízet byt.,3553
Alicia tampoco viene.,Alice také nepřijede.,3554
Como es miope, nunca (jamás) acierta.,Protože je krátkozraký,3555
Como es miope, nunca (jamás) acierta.,nikdy se netrefí.,3556
poner manos a la obra,dát se do něčeho,3557
poner la mano en el fuego por algien,dát za někoho ruku do ohně,3558
poner las cartas sobre la mesa,vyložit karty na stůl,3559
el cojín,polštářek,3560
el cojín,poduška,3561
entonces,tehdy,3562
entonces,tenkrát,3563
entonces,(a) tak,3564
entonces,(a) tedy,3565
entonces,v tom případě,3566
entonces,takže,3567
desde entonces / hasta entonces,od té doby / (až) do té doby,3568
Entonces no me queda otro remedio que hacer eso.,Takže mi nezbývá jiné řešení než to udělat.,3569
Es cierto.,To je pravda.,3570
la ardilla de tierra,sysel,3571
el hámster,křeček,3572
el estribillo,refrén,3573
Tú nunca te fijas en nada.,Nikdy si ničeho nevšimneš.,3574
incrédulo,nedůvěřivý,3575
incrédulo,nevěřící,3576
la res,dobytče,3577
la res,kus dobytka,3578
la macedonia,ovocný salád,3579
la miga / las migas,drobek / dobečky,3580
la nevera / el frigorífico,lednička,3581
necessario,potřebný,3582
necessario,nutný,3583
ocurrir / ocurrirse,stát se,3584
ocurrir / ocurrirse,přihodit se,3585
ocurrir / ocurrirse,udát se / napadnout (koho myšlenka),3586
la paella,jídlo z rýže,3587
la piña,ananas,3588
la piña,šiška,3589
probar, 1.pruebo,zkusit,3590
probar, 1.pruebo,vyzkoušet,3591
probar, 1.pruebo,prověřit,3592
probar, 1.pruebo,ochutnat,3593
sabroso,chutný,3594
sabroso,lahodný,3595
sabroso,dobrý,3596
saciar (se),utišit hlad,3597
saciar (se),ukojit touhu,3598
saciar (se),(nasytit se),3599
el salmón,losos,3600
la sandía,meloun vodní (červený),3601
sencillo,jednoduchý (ne dvojitý),3602
sencillo,prostý,3603
sencillo,snadný,3604
la seta (comestible / venenosa),houba (jedlá / jedovatá houba),3605
el calvario,křížová cesta,3606
Dios todopoderoso,bůh všemohoucí,3607
colmar1,naplnit až po okraj,3608
colmar1,zahrnout dárky ap.,3609
colmar2,zasypat čím lichotkami ap.,3610
colmar2,naplnit přání,3611
colmar2,tužby ap.,3612
la bendición / impartir la bendición,požehnání,3613
la bendición / impartir la bendición,posvěcení / dát požehnání,3614
bendición de la mesa, benedícite / la bendición,modlitba před jídlem / žehnání,3615
bendición de la mesa, benedícite / la bendición,požehnání,3616
impartir,udělit,3617
impartir,poskytnout,3618
la felicidad,štěstí,3619
la felicidad,radost,3620
la felicidad,úspěch,3621
atropellar,srazit,3622
atropellar,porazit,3623
atropellar,přejet,3624
atropellar,odstrčit,3625
atropellar,odbýt,3626
proteger (se),chránit(se),3627
proteger (se),ochránit,3628
proteger (se),hlídat,3629
proteger (se) de la lluvia,chránit (se) před deštěm,3630
promover,podpořit,3631
promover,povýšit,3632
promover,jmenovat,3633
la relevancia,důležitost,3634
la relevancia,vážnost,3635
ubicar,umístit,3636
ubicar,postavit,3637
ubicar,položit,3638
ubicar,nacházet se,3639
ubicar,zorientovat se,3640
el convento,klášter,3641
el convento,konvent,3642
la gruta (cueva, caverna),jeskyně,3643
la gruta (cueva, caverna),sluj (přírodní i umělá),3644
el/la descendiente,potomek,3645
el/la descendiente,klesající,3646
el/la descendiente,sestupující,3647
el carruaje,kočár,3648
la carambola,kulečníkový úder,3649
la carambola,štěstí,3650
la carambola,náhoda,3651
la carambola,tropické ovoce,3652
¡caramba!,sakra!,3653
¡caramba!,k čertu!,3654
¡caramba!,hrome!,3655
el platillo (volante) / el volante,pokrm,3656
el platillo (volante) / el volante,talířek,3657
el platillo (volante) / el volante,(létající talíř) / volant,3658
escoger / escoger a su gusto,vybrat si,3659
escoger / escoger a su gusto,zvolit si / vybrat si podle svého vkusu,3660
decepcionar,zklamat,3661
decepcionar,rozčarovat,3662
decepcionar,vzít iluze,3663
el restaurante al aire libre,restaurant - zahrádka,3664
acostumbrar,navyknout si,3665
acostumbrar,přivyknout,3666
acostumbrar,mít ve zvyku,3667
la danza (regional),(lidový) tanec,3668
Mérida es una ciudad que cuenta con muchos museos.,Merida je město,3669
Mérida es una ciudad que cuenta con muchos museos.,které má mnoho muzeí.,3670
la pinacoteca,obrazárna,3671
la pinacoteca,galeria,3672
la miel / meloso,med,3673
la miel / meloso,něžnost,3674
la miel / meloso,líbánky / medový,3675
la miel / meloso,sladký,3676
el traje (de noche),oblečení,3677
el traje (de noche),oblek,3678
el traje (de noche),šaty (dámské večerní),3679
el traje (de noche),kroj,3680
el traje (de noche),uniforma,3681
felicitar,popřát,3682
felicitar,blahopřát,3683
felicitar,gratulovat,3684
avisar,upozornit,3685
avisar,varovat,3686
avisar,poradit,3687
la lana,vlna,3688
el modelo / el, la modelo,model,3689
el modelo / el, la modelo,vzor / model,3690
el modelo / el, la modelo,modelka,3691
el diseño,design,3692
el diseño,vzhled,3693
la versatilidad,všestrannost,3694
el pelo / no mover el pelo,vlas,3695
el pelo / no mover el pelo,chlup,3696
el pelo / no mover el pelo,vous,3697
el pelo / no mover el pelo,srst / nehnout (ani) prstem,3698
al pelo,vhod,3699
al pelo,jako na zavolanou,3700
estar sentado a la mesa,sedět u stolu,3701
¿Puedo sentarme delante?,Můžu sedět vpředu?,3702
¡Pase!,Vstupte!,3703
verdad verdadera, verdad y nada más que la verdad,pravda pravdoucí,3704
más que todo,nade všechno,3705
más que / salvo,kromě,3706
más que / salvo,vyjma,3707
más que / salvo,jako,3708
por más que,přestože,3709
por más que,ať sebevíc,3710
por más que,jakkoli,3711
la dama (primera, de honor),dáma (první dáma,3712
la dama (primera, de honor),dvorní dáma),3713
el honor,čest,3714
palabra de honor,čestné slovo,3715
la jura, el juramento / el jurado,přísaha / porota,3716
la jura, el juramento / el jurado,porotce,3717
prestar juramento,přísahat,3718
el fondo,dno,3719
el fondo,hloubka,3720
el fondo,podstata,3721
el fondo,zadní část,3722
el fondo,fond,3723
tocar fondo,dostat se na dno,3724
exterminar,vyhubit,3725
exterminar,vyhladit,3726
extinguir,uhasit (oheň),3727
extinguir,zaniknout,3728
extinguirse,vyhynout,3729
extinguirse,vymřít,3730
la longaniza,klobása,3731
la longaniza,jitrnice,3732
el mole,papriková omáčka,3733
el mole,maso s paprikovou omáčkou,3734
el picadillo,mleté maso (vepřová),3735
el picadillo,sekaná,3736
el chicharrón,škvarek,3737
el estómago,žaludek,3738
Está mal de estómago.,Je mu zle od žaludku.,3739
revolverse a algn el estómago,zvedat se komu žaludek,3740
Me arde el estómago.,Pálí mě žáha.,3741
arder,hořet,3742
arder,planout,3743
arder,žhnout,3744
arder,pálit,3745
satisfecho,spokojený,3746
satisfecho,ukojený,3747
satisfecho,splněný,3748
la chuche,sladkost,3749
la chuche,laskomina,3750
el/la chucho,pes voříšek,3751
el ajo,česnek,3752
diente de ajo / cabeza de ajo / al ajo,stroužek česneku / palička česneku / na česneku,3753
el puerro,pór,3754
el tomate / tomate frito,rajče / rajský protlak,3755
la zanahoria,mrkev,3756
el calabacín / la calabaza,cuketa,3757
el calabacín / la calabaza,tykev,3758
el calabacín / la calabaza,moula / dýně,3759
el calabacín / la calabaza,tykev,3760
el calabacín / la calabaza,trouba,3761
el rato,chvíle,3762
el rato,okamžik,3763
para un rato / dentro de un rato / hace un rato,na chvíli / za chvíli / před chvílí,3764
el sino / no sólo... sino también,osud,3765
el sino / no sólo... sino también,nýbrž,3766
el sino / no sólo... sino también,ale / nejen...,3767
el sino / no sólo... sino también,nýbrž i,3768
el supermercado,supermarket,3769
el supermercado,samoobsluha,3770
tardar (en algo) / se tarda un rato,trvat (komu co),3771
tardar (en algo) / se tarda un rato,zpozdit se (v čem) / chvíli to trvá,3772
Carmen tarda ya media hora.,Carmen má už půl hodiny zpoždění.,3773
retardar,oddálit,3774
retardar,zpozdit,3775
retardar,pozdržet,3776
la tarta,dort,3777
la tarta,koláč,3778
tierno,něžný,3779
tierno,křehký,3780
tierno,měkký,3781
la tortilla,omeleta,3782
la tortilla,placka,3783
la tortilla,plochý chléb,3784
el trozo (pieza, pedazo = kus, část celku),kus,3785
el trozo (pieza, pedazo = kus, část celku),kousek,3786
el trozo (pieza, pedazo = kus, část celku),část,3787
último,poslední,3788
último,nejnovější,3789
último,konečný,3790
último,zásadní,3791
el hogar,domov,3792
el hogar,domácnost,3793
el hogar,krb,3794
hogar infantil / artículos para el hogar,dětský domov / domácí potřeby,3795
el sueño / soñado,sen,3796
el sueño / soñado,spánek,3797
el sueño / soñado,ospalost / vysněný,3798
tener sueño,být ospalý,3799
el paraje,končina,3800
el paraje,kraj,3801
el paraje,krajina,3802
fresco,čerstvý,3803
fresco,svěží,3804
fresco,chlazený,3805
comunicativo,komunikativní,3806
comunicativo,sdílný,3807
a los hombres les gustan las rubias, se casan con morenas,mužům se líbí blondýnky,3808
a los hombres les gustan las rubias, se casan con morenas,žení se s tmavovláskami,3809
cuesta un ojo de la cara / un dineral,stojí nekřesťanské peníze,3810
¿Qué fecha es hoy? / ¿A cuántos estamos hoy?,Hoy es quince de enero. / Estamos quince de enero.,3811
Ese libro es fenomenal, se vende como churros.,Ta kniha je úžasná,3812
Ese libro es fenomenal, se vende como churros.,prodává se sama.,3813
maduro,zralý,3814
maduro,dozrálý,3815
maduro,dospělý,3816
maduro,vyspělý,3817
¿Qué más? / ¿Algo más? / ¿Alguna cosa más?,Co dál / ještě?,3818
la sonrisa,úsměv,3819
la crema,smetana,3820
el jugo (zumo),šťáva,3821
el jugo (zumo),džus,3822
el eneldo,kopr,3823
envolver,zaplést se,3824
envolver,obalit,3825
envolver,zabalit,3826
envolver,zachumlat,3827
envolver,ovinout,3828
colar,přecedit,3829
colar,přefiltrovat,3830
colar,propašovat,3831
colar,vloudit se,3832
el tubérculo,hlíza,3833
el tubérculo,nádor,3834
el tubérculo,boule,3835
eviscerar,vyjmout vnitřní orgány,3836
eviscerar,vykuchat,3837
la herradura,podkova,3838
verter,nasypat,3839
verter,vysypat,3840
verter,vlít,3841
verter,vylít,3842
verter,rozlít,3843
el perejil,petržel,3844
el hacha (de guerra), ž,sekera (válečná),3845
el coste (el costo),cena,3846
el coste (el costo),náklady,3847
el coste (el costo),výdaje,3848
el apio,celer (jako rostlina),3849
la cáscara,kůra,3850
la cáscara,skořápka (ořechu),3851
el jengibre / pan de jengibre,zázvor / perník,3852
la almendra,mandle,3853
el vinagre de vino,vinný ocet,3854
la sangre / sangrar / presión sanguínea,krev / krvácet /krevní tlak,3855
la sangría,krveprolití,3856
la sangría,jatka,3857
la sangría,pouštění žilou,3858
la sangría,sangrie,3859
el caldero,kotlík,3860
la ciruela,švestka,3861
la (ciruela) claudia,ryngle,3862
la (ciruela) claudia,bluma,3863
la albóndiga,masový knedlíček (kulička),3864
la albóndiga,karbanátek,3865
el tiro,hod,3866
el tiro,střelba,3867
el tiro,tah,3868
a tiro de piedra,co by kamenem dohodil,3869
a tiro de piedra,blízko,3870
matar dos pájaros de un tiro,zabít dvě mouchy jednou ranou,3871
recoger / recoger la mesa,sklízet,3872
recoger / recoger la mesa,sbírat,3873
recoger / recoger la mesa,vyzvednout (ze školy),3874
recoger / recoger la mesa,urovnat,3875
recoger / recoger la mesa,uspořádat,3876
el asunto,případ,3877
el asunto,věc,3878
el asunto,záležitost,3879
el asunto,pletky,3880
el asunto,milostný poměr,3881
la tarea,úkol,3882
la tarea,úloha,3883
la tarea,práce,3884
Vamos a invitar a mi abuela a comer.,Pozveme mojí babičku na oběd.,3885
mandar a freír espárragos / mandar a churros,poslat někoho k šípku,3886
comerse a alguien con los ojos,hltat koho očima,3887
ni carne ni pescado,ani ryba ani rak,3888
la media naranja,drahá polovička,3889
la manzana de la discordia,jablko sváru,3890
volverse loco,zešílet,3891
la col (fermentada),zelí (kvašené),3892
¡Qué rico huele!,Jé,3893
¡Qué rico huele!,to krásně voní!,3894
¿En qué puedo servirle?,Čím Vám mohu posloužit?,3895
el té,čaj,3896
Tengo muchas ganas de probar la tarta.,Mám hroznou chuť ochutnat ten dort.,3897
oscuro,tmavý,3898
oscuro,temný,3899
la corbata,kravata,3900
la cruz esvástica,hákový kříž,3901
la pasión,vášeň,3902
la cámara,kamera,3903
la cámara,foťák,3904
la cámara,komnata,3905
la cámara,komora,3906
el equipo,vybavení,3907
el equipo,výstroj,3908
el equipo,tým,3909
el equipo,kolektiv,3910
el techo,strop,3911
el techo,střecha (auta),3912
sonreír,usmát se,3913
sonreír,usmívat se,3914
el bigote,knír,3915
el bigote,knírek,3916
calvo,plešatý,3917
calvo,holohlavý,3918
calvo,holý (kopec),3919
¿Me pasa la sal, por favor?,Podal byste mi sůl,3920
¿Me pasa la sal, por favor?,prosím?,3921
gritar,křičet,3922
gritar,řvát,3923
gritar,hulákat,3924
señalar,ukazovat,3925
señalar,označit,3926
señalar,označkovat,3927
señalar,poznamenat někoho,3928
aguafiestas / dar una fiesta,kazič zábavy / uspořádat oslavu,3929
apetecer,mít chuť (na něco,3930
apetecer,něco udělat),3931
el arándano,borůvka,3932
el arándano rojo,brusinka,3933
el arándano rojo,brusinkový,3934
la revista,časopis,3935
la revista,revue,3936
el héroe,hrdina,3937
el héroe,hlavní hrdina ve filmu,3938
la mezquita,mešita,3939
la suerte (buena, mala) / por suerte,osud,3940
la suerte (buena, mala) / por suerte,úděl (štěstí,3941
la suerte (buena, mala) / por suerte,neštěstí) / naštěstí,3942
antipático,nesympatický,3943
el misterio,tajemství,3944
el bollo,koláč,3945
el bollo,buchta,3946
la carta,jídelní lístek,3947
el cava / la cava,sekt / vinný sklep,3948
la celebración,oslava,3949
la celebración,konání,3950
el chocolate,čokoláda,3951
el chorizo,papriková klobása,3952
el cosido madrileño,hustá polévka z luštěnin a masa,3953
el cóctel de gambas / camarónes,krevetový kokteil / kreveta (druhý výraz),3954
componer (se),složit,3955
componer (se),sestavit,3956
componer (se),sepsat (skládat se,3957
componer (se),sestávat se),3958
el compuesto,složený,3959
el compuesto,sloučenina,3960
conducir,řídit,3961
conducir,vést,3962
conducir,moderovat,3963
conducir,vést k něčemu,3964
el conejo (al ajillo),králík (na česneku),3965
constar / hacer constar / que conste,zřejmý,3966
constar / hacer constar / que conste,jasný / dát jasně najevo / aby bylo jasno,3967
constar (de),skládat se z,3968
constar (de),sestávat z,3969
el consumo,užívání,3970
el consumo,spotřeba,3971
el consumo,konzumace,3972
conveniente,vhodný,3973
conveniente,vyhovující,3974
el curso,kurz,3975
el curso,směr,3976
el curso,ročník,3977
el curso,školní rok,3978
el examen (médico),zkouška,3979
el examen (médico),prohlídka (lékařská),3980
aprobar / no aprobar, fallar el examen,povolit,3981
aprobar / no aprobar, fallar el examen,schválit,3982
aprobar / no aprobar, fallar el examen,složit / propadnout u zkoušky,3983
especializarse en,specializovat se,3984
especializarse en,zaměřit se na,3985
extenderse, 1.extiendo,rozkládat se,3986
extenderse, 1.extiendo,rozprostírat se,3987
los jóvenes,mládež,3988
la legumbre,luštěnina,3989
el lomo / la loma,hřbet / hřeben,3990
el lomo / la loma,horský hřbet,3991
el marisco,mořské plody,3992
la mermelada,marmeláda,3993
el menú,menu,3994
el melón,žlutý meloun,3995
mientras que / mientras tanto,zatímco,3996
la morcilla,jelito,3997
la morcilla,improvizace na divadle,3998
la ostra,ústřice,3999
patético,patetický,4000
patético,trapný,4001
la parrillada de carnes / de mariscos,masová směs na grilu,4002
la parrillada de carnes / de mariscos,mořské plody na grilu,4003
generalmente,obecně,4004
el tazón (la taza = šálek),miska,4005
el tazón (la taza = šálek),hrnek,4006
el tipo,typ,4007
el tipo,druh,4008
el tipo,kurz,4009
tipo de cambio / tipo de interés (la tasa),směnný kurz / úrok,4010
tipo de cambio / tipo de interés (la tasa),úroková míra,4011
tirar,hodit,4012
tirar,vyhodit,4013
tirar,střílet / tahat,4014
tirar,zatáhnout,4015
la tostada,toust,4016
la tostada,topinka,4017
traer, 1.traigo, 2.traes…,přinést,4018
traer, 1.traigo, 2.traes…,přivést,4019
traer, 1.traigo, 2.traes…,způsobit,4020
traer, 1.traigo, 2.traes…,nosit (na sobě),4021
últimamente,v poslední době,4022
el venado,jelen,4023
el venado,vysoká zvěř,4024
ya que,poněvadž,4025
ya que,protože,4026
el zumo de naranja,pomerančový džus,4027
el senderismo,pěší turistika,4028
la tapa / el tapeo,chuťovka,4029
la tapa / el tapeo,víko,4030
la tapa / el tapeo,poklička / pojídání tapas,4031
la ración,porce jídla,4032
la ración,dávka,4033
la ración,příděl,4034
la aceituna,oliva,4035
el boquerón,sardel,4036
el boquerón,ančovičky,4037
su consumo va subiendo,jeho spotřeba postupně roste (ir+gerundium - postupně),4038
en alguna parte / en ninguna parte,někde / nikde,4039
a alguna parte / a ninguna parte,někam / nikam,4040
en todas partes / a todas partes,všude / kamkoliv,4041
llorar sobre la leche derramada,plakat nad rozlitým mlékem,4042
derramar (lágrimas) / el derrame,vylít,4043
derramar (lágrimas) / el derrame,rozlít,4044
derramar (lágrimas) / el derrame,prolévat (slzy) / výron,4045
derramar (lágrimas) / el derrame,rozlití,4046
derramar (lágrimas) / el derrame,rozsypání,4047
matar el gusanillo,zahnat nejhorší hlad,4048
pagar el pato / pagar los platos rotos,odskákat / odnést něco za někoho,4049
fallecido / difunto,zesnulý,4050
fallecido / difunto,neboštík,4051
el parto,porod,4052
la resulta / Resulta que...,výsledek,4053
la resulta / Resulta que...,následek / Z toho vyplývá,4054
la resulta / Resulta que...,že...,4055
partir,rozdělit,4056
partir,rozlámat,4057
partir,rozříznout,4058
partir,vyrazit někam,4059
¿A ti te gusta Madrid? A mí no me gusta.,Líbí se ti Madrid? Mně se nelíbí.,4060
el pulpo,chobotnice,4061
el pulpo,slizoun,4062
Salmón a la plancha. / Merluza a la Romana.,Losos na grilu. / Treska po římsku.,4063
la costilla / costillas de cordero,žebro / jehněčí kotlety,4064
la noticia,zpráva (televizní),4065
la noticia,novinka,4066
la habitación (doble, individual),místnost,4067
la habitación (doble, individual),pokoj,4068
la habitación (doble, individual),obydlí,4069
precioso,drahý,4070
precioso,cenný,4071
precioso,drahocenný,4072
precioso,překrásný,4073
judío, -a,židovský,4074
judío, -a,judaistický,4075
judío, -a,Žid / Židovka,4076
judío, -a,lichvář,4077
el vidrio,sklo,4078
suegro, suegra,tchán,4079
suegro, suegra,tchyně,4080
el bocado,sousto,4081
el bocado,něco malého na zub,4082
¡Socorro!,Pomoc!,4083
Querría aprenderlo lo más pronto posible.,Chtěla bych se to naučit co nejrychleji,4084
el aeropuerto / ¿Me llevarás al aeropuerto ?,letiště / Odvezeš mě na letiště?,4085
el ama de casa,žena v domácnosti,4086
el artículo,článek,4087
el atasco (de tráfico),dopravní zácpa,4088
aterrizar,přistát,4089
aterrizar,dosednout (letadlo),4090
el campesino,venkovan,4091
en caso de,v případě čeho,4092
circular,kruhový,4093
circular,jezdit pravidelně sem a tam,4094
circular,obíhat,4095
la circular,oběžník,4096
congestionar / congestionado,ucpat,4097
congestionar / congestionado,překrvit / ucpaný,4098
congestionar / congestionado,přeplněný,4099
congestionar / congestionado,překrvený,4100
el deporte / hacer deporte,sport / sportovat,4101
dirigirse a,obrátit se na,4102
la distancia,vzdálenost,4103
(estar) equivocado,(mýlit se) chybný,4104
(estar) equivocado,mylný,4105
(estar) equivocado,nesprávný,4106
universitario,universitní,4107
universitario,vysokoškolák,4108
guerrillero,partizán,4109
guerrillero,partizánský,4110
la fila / en fila / fila india,řada,4111
la fila / en fila / fila india,zástup / v řadě / zástup,4112
el canapé,jednohubka,4113
el canapé,chlebíček,4114
el canapé,kanape,4115
insistir en algo (insistente = naléhavý) / insistir sobre algo,naléhat,4116
insistir en algo (insistente = naléhavý) / insistir sobre algo,trvat,4117
insistir en algo (insistente = naléhavý) / insistir sobre algo,stále připomínat co,4118
insistir en algo (insistente = naléhavý) / insistir sobre algo,nedat si pokoj,4119
el desastre,pohroma,4120
el desastre,katastrofa,4121
el desastre,neštěstí,4122
solamente,jenom,4123
solamente,pouze,4124
solamente,jedině,4125
solamente,výhradně,4126
inmediatamente,ihned,4127
inmediatamente,okamžitě,4128
inmediatamente,bezprostředně,4129
la lista,seznam,4130
la lista,soupis,4131
la lista,proužek,4132
el error / por error,chyba,4133
el error / por error,omyl,4134
el error / por error,odchylka / omylem,4135
lo siento,je mi líto,4136
gastar,utratit,4137
gastar,vydat,4138
gastar,spotřebovat,4139
el hostal,hostel,4140
el hostal,ubytovna,4141
la huelga,stávka,4142
el huerto,sad,4143
el huerto,zahrada,4144
la linea,čára,4145
la linea,linie,4146
la linea,řádek,4147
lo que,což,4148
la manera,způsob,4149
el marido,manžel,4150
el marido,choť,4151
el medio ambiente,životní prostředí,4152
la montaña,hora,4153
la montaña,kopec,4154
la necesidad,potřeba,4155
la necesidad,nutnost,4156
la necesidad,nezbytnost,4157
la necesidad,nouze,4158
optar por,zvolit si (něco),4159
la palabra malsonante,neslušné slovo,4160
la pesadilla,noční  můra,4161
la pesadilla,zlý sen,4162
la previsión (del tiempo),předpověď (počasí),4163
recordar, 1.recuerdo a algn,vzpomínat si na,4164
reservar,rezervovat si,4165
reservar,zamluvit si,4166
superar,překonávat,4167
el transporte urbano,městská doprava,4168
el payaso,klaun,4169
el payaso,šašek,4170
el payaso,klaunský,4171
gitano, -na,cikán,4172
gitano, -na,cikánka,4173
gitano, -na,cikánský,4174
el estilo,styl,4175
el estilo,sloh,4176
el sombrero,klobouk,4177
prisionero / preso,vězeň,4178
prisionero / preso,zajatý,4179
prisionero / preso,uvězněný,4180
la palma / hacer palmas,palma,4181
la palma / hacer palmas,dlaň / tleskat,4182
golpear,bouchnout,4183
golpear,bušit,4184
golpear,udeřit,4185
venido, visto, vencido,přišel jsem,4186
venido, visto, vencido,viděl jsem,4187
venido, visto, vencido,zvítězil jsem,4188
el arma (ž. rod),zbraň,4189
el hada,víla,4190
la madrina / el matrimonio,kmotra,4191
la madrina / el matrimonio,svědkyně na svatbě / manželsví,4192
la madrina / el matrimonio,manželský pár,4193
el hada madrina,sudička,4194
ir al grano,jít k jádru věci,4195
todo le va viento en popa,vše se mu daří,4196
todo le va viento en popa,vychází,4197
viento en popa,vítr v zádi,4198
viento en popa,v plachtách,4199
ir sobre ruedas,jít jako po másle,4200
ir de La Ceca a La Meca,běhat od čertu k ďáblu,4201
vístete rápido / vestíos rápido,rychle se obleč,4202
vístete rápido / vestíos rápido,rychle se oblečte (3.třída mn.č - í!),4203
el cerro / la colina,pahorek,4204
el cerro / la colina,kopec,4205
la catarata / la cascada,vodopád,4206
la catarata / la cascada,šedý zákal / vodopád,4207
la catarata / la cascada,kaskáda,4208
pelear por,prát se,4209
pelear por,bojovat,4210
pelear por,zápasit o,4211
pelear por,hádat se,4212
pelear por,hašteřit,4213
la enchilada,kukuřičná placka s čili plněná masem,4214
la enchilada,sýrem,4215
la enchilada,zeleninou,4216
la lástima / ¡Qué lástima!, es una lástima,soucit,4217
la lástima / ¡Qué lástima!, es una lástima,lítost / To je škoda,4218
presuponer,předpokládat,4219
presuponer,domnívat se,4220
celoso,žárlivý,4221
celoso,žárlivec,4222
agarrar,popadnout,4223
agarrar,vzít,4224
agarrar,chytit do ruky,4225
agarrar,chytit,4226
agarrar,dostat (rýmu),4227
basto / basta,hrubý,4228
basto / basta,drsný,4229
basto / basta,neotesaný /dost,4230
basto / basta,to stačí,4231
lento / lentamente,pomalý,4232
lento / lentamente,těžkopádný,4233
lento / lentamente,mírný (oheň) / pomalu,4234
lento / lentamente,zdlouhavě,4235
empujar,zatlačit,4236
empujar,dotlačit,4237
empujar,strčit,4238
empujar,postrčit,4239
la tontería,hloupost,4240
la tontería,blbost,4241
la tontería,kravina,4242
Hasta ahora no he hablado con él.,Dosud jsem s ním nemluvil.,4243
el asentamiento,osídlení,4244
el asentamiento,sídliště,4245
atravesar,přejít,4246
atravesar,překročit na druhou stranu,4247
atravesar,procházet čím,4248
Centroamérica,Střední Amerika,4249
conectar,spojit,4250
conectar,propojit,4251
conformar,utvářet,4252
conformar,formovat,4253
conformar,shodovat se,4254
conformar,přizpůsobit se,4255
el cultivo,plodina,4256
el cultivo,pěstování,4257
denso / ralo,hustý / řídký (vlasy,4258
denso / ralo,slabý čaj),4259
indicador económico,ekonomický ukazatel,4260
el efecto,efekt,4261
el efecto,účinek,4262
el efecto,následek,4263
enorme,ohromný,4264
enorme,nesmírný,4265
la especie,druh,4266
estrecho,úzký,4267
estrecho,těsný,4268
excepto (yo, mi abuela),kromě,4269
excepto (yo, mi abuela),vyjma (1.pád),4270
la expansión,rozšíření,4271
la expansión,rozpínání,4272
la expansión,rozvoj,4273
la expansión,výlev (citů),4274
la extensión / por extensión,rozloha,4275
la extensión / por extensión,rozsah / v širším slova smyslu,4276
la fauna / la flora,zvířectvo / rostlinstvo,4277
grueso,silný,4278
grueso,hrubý,4279
grueso,tlustý,4280
hidráulico,hydraulický,4281
hidráulico,vodní,4282
impulsar,pohánět,4283
impulsar,povzbuzovat,4284
impulsar,podpořit,4285
la inauguración,zahájení,4286
la inauguración,otevření,4287
indígena,indiánský,4288
indígena,domorodý,4289
indígena,domorodec,4290
indígena,domorodkyně,4291
la isleta,ostrůvek,4292
el istmo (de Panamá ),šíje (panamská),4293
marítimo (marino),mořský,4294
marítimo (marino),přímořský,4295
mayoritariamente,většinově,4296
mayoritariamente,majoritně,4297
mayoritariamente,většinou,4298
mayoritariamente,z převážné části,4299
meridional / boreal (septentrional),jižní,4300
meridional / boreal (septentrional),jižan,4301
meridional / boreal (septentrional),jižanka / severní,4302
meridional / boreal (septentrional),arktický,4303
mundial,(celo)světový,4304
mundial,mistrovství světa,4305
la navegación,plavba,4306
la navegación,surfování po internetu,4307
ofrecer,nabídnout,4308
el pasado,minulost,4309
el pez sierra,piloun,4310
poblado,obydlený,4311
poblado,lidnatý,4312
principal,hlavní,4313
la proporción,proporce,4314
la proporción,rozměr,4315
la proporción,poměr,4316
reducir,snížit,4317
reducir,zkrátit,4318
la reserva natural,přírodní rezervace,4319
el sinnúmero,bezpočet,4320
el sinnúmero,nesčíslné množství,4321
la superficie,plocha,4322
la superficie,povrch,4323
superficie de almacén,skladovací plocha,4324
salir a la superficie,vyplavat na povrch,4325
almacenar / el almacén, el depósito,skladovat,4326
